start,end,type,measure,start_beat,duration,track,TS,measure_score
0.0,4.5,a,1,0.0,4.5,0,6/8,1
6.0,10.5,a,3,0.0,4.5,0,6/8,3
12.0,18.0,b,5,0.0,6.0,0,6/8,5
12.0,16.5,c,5,0.0,4.5,1,6/8,5
18.0,24.0,b,7,0.0,6.0,0,6/8,7
18.0,22.5,c,7,0.0,4.5,1,6/8,7
24.0,37.5,b,9,0.0,13.5,0,6/8,9
24.0,31.5,c,9,0.0,7.5,1,6/8,9
36.0,48.0,b,13,0.0,12.0,1,6/8,13
37.5,45.0,c,13,1.5,7.5,0,6/8,13
45.0,49.5,a,16,0.0,4.5,0,6/8,16
48.0,61.5,b,17,0.0,13.5,1,6/8,17
52.5,60.0,b,18,1.5,7.5,0,6/8,18
60.0,72.0,b,21,0.0,12.0,0,6/8,21
64.5,72.0,b,22,1.5,7.5,1,6/8,22
72.0,76.5,a,25,0.0,4.5,0,6/8,25
76.5,82.5,d,26,1.5,6.0,0,6/8,26
84.0,88.5,a,29,0.0,4.5,0,6/8,29
88.5,94.5,d,30,1.5,6.0,0,6/8,30
96.0,102.0,a,33,0.0,6.0,0,6/8,33
102.0,108.0,j,35,0.0,6.0,0,6/8,35
102.0,108.0,j,35,0.0,6.0,1,6/8,35
108.0,114.0,j,37,0.0,6.0,0,6/8,37
108.0,115.5,j,37,0.0,7.5,1,6/8,37
120.0,126.0,e,41,0.0,6.0,1,6/8,41
126.0,132.0,e,43,0.0,6.0,1,6/8,43
132.0,135.0,b,45,0.0,3.0,0,6/8,45
132.0,135.0,b,45,0.0,3.0,1,6/8,45
135.0,138.0,b,46,0.0,3.0,0,6/8,46
135.0,138.0,b,46,0.0,3.0,1,6/8,46
138.0,141.0,b,47,0.0,3.0,0,6/8,47
138.0,141.0,b,47,0.0,3.0,1,6/8,47
141.0,145.5,b,48,0.0,4.5,0,6/8,48
141.0,145.5,b,48,0.0,4.5,1,6/8,48
150.0,156.0,e,51,0.0,6.0,0,6/8,51
156.0,162.0,e,53,0.0,6.0,0,6/8,53
162.0,165.0,b,55,0.0,3.0,0,6/8,55
162.0,165.0,b,55,0.0,3.0,1,6/8,55
165.0,168.0,b,56,0.0,3.0,0,6/8,56
165.0,168.0,b,56,0.0,3.0,1,6/8,56
168.0,171.0,b,57,0.0,3.0,0,6/8,57
168.0,171.0,b,57,0.0,3.0,1,6/8,57
171.0,175.5,b,58,0.0,4.5,0,6/8,58
171.0,175.5,b,58,0.0,4.5,1,6/8,58
175.5,181.5,c,59,1.5,6.0,0,6/8,59
181.5,187.5,c,61,1.5,6.0,0,6/8,61
187.5,196.5,c,63,1.5,9.0,0,6/8,63
199.5,205.5,f,67,1.5,6.0,0,6/8,67
199.5,204.0,c,67,1.5,4.5,1,6/8,67
205.5,211.5,f,69,1.5,6.0,0,6/8,69
205.5,210.0,c,69,1.5,4.5,1,6/8,69
211.5,217.5,c,71,1.5,6.0,0,6/8,71
211.5,217.5,f,71,1.5,6.0,1,6/8,71
217.5,223.5,f,73,1.5,6.0,0,6/8,73
223.5,228.0,f,75,1.5,4.5,0,6/8,75
228.0,241.5,f,77,0.0,13.5,0,6/8,77
241.5,247.5,g,81,1.5,6.0,0,6/8,81
247.5,253.5,g,83,1.5,6.0,0,6/8,83
253.5,258.0,b,85,1.5,4.5,0,6/8,85
253.5,259.5,g,85,1.5,6.0,1,6/8,85
258.0,264.0,b,87,0.0,6.0,0,6/8,87
259.5,265.5,g,87,1.5,6.0,1,6/8,87
267.0,270.0,b,90,0.0,3.0,0,6/8,90
270.0,273.0,b,91,0.0,3.0,0,6/8,91
273.0,276.0,b,92,0.0,3.0,0,6/8,92
276.0,279.0,f,93,0.0,3.0,0,6/8,93
279.0,282.0,f,94,0.0,3.0,0,6/8,94
282.0,285.0,f,95,0.0,3.0,0,6/8,95
