start,end,type,measure,start_beat,duration,track,TS,measure_score
-1,4,a,0,3,5,0,2/2,0
4,7,b,2,0,3,0,2/2,2
8,12,a,3,0,4,0,2/2,3
12,15,b,4,0,3,0,2/2,4
16,19,b,5,0,3,0,2/2,5
20,23,b,6,0,3,0,2/2,6
24,26,a,7,0,2,0,2/2,7
26,30,b,7,2,4,0,2/2,7
31,36,a,8,3,5,0,2/2,8
36,40,b,10,0,4,0,2/2,10
41,44,b,11,1,3,0,2/2,11
45,48,b,12,1,3,0,2/2,12
49,52,b,13,1,3,0,2/2,13
53,56,b,14,1,3,0,2/2,14
56,61,c,15,0,5,0,2/2,15
61,69,c,16,1,8,0,2/2,16
69,77,c,18,1,8,0,2/2,18
79,87,d,20,3,8,0,2/2,20
87,95,d,22,3,8,0,2/2,22
95,100,d,24,3,5,0,2/2,24
100,102,e,26,0,2,0,2/2,26
102,104,e,26,2,2,0,2/2,26
104,106,e,27,0,2,0,2/2,27
106,109,e,27,2,3,0,2/2,27
110,113,e,28,2,3,0,2/2,28
114,117,e,29,2,3,0,2/2,29
118,120,e,30,2,2,0,2/2,30
120,122,e,31,0,2,0,2/2,31
122,124,e,31,2,2,0,2/2,31
124,126,e,32,0,2,0,2/2,32
126,128,e,32,2,2,0,2/2,32
128,132,f,33,0,4,0,2/2,33
132,136,f,34,0,4,0,2/2,34
136,140,f,35,0,4,0,2/2,35
140,144,d,36,0,4,0,2/2,36
144,148,f,37,0,4,0,2/2,37
148,152,f,38,0,4,0,2/2,38
152,156,f,39,0,4,0,2/2,39
156,160,d,40,0,4,0,2/2,40
162,170,g,41,2,8,0,2/2,41
170,178,g,43,2,8,0,2/2,43
178,189,g,45,2,11,0,2/2,45
191,196,a,49,-1,5,0,2/2,1
196,199,b,50,0,3,0,2/2,2
200,204,a,51,0,4,0,2/2,3
204,207,b,52,0,3,0,2/2,4
208,211,b,53,0,3,0,2/2,5
212,215,b,54,0,3,0,2/2,6
216,218,a,55,0,2,0,2/2,7
218,222,b,55,2,4,0,2/2,7
223,228,a,56,3,5,0,2/2,8
228,232,b,58,0,4,0,2/2,10
233,236,b,59,1,3,0,2/2,11
237,240,b,60,1,3,0,2/2,12
241,244,b,61,1,3,0,2/2,13
245,248,b,62,1,3,0,2/2,14
248,253,c,63,0,5,0,2/2,15
253,261,c,64,1,8,0,2/2,16
261,269,c,66,1,8,0,2/2,18
271,279,d,68,3,8,0,2/2,20
279,287,d,70,3,8,0,2/2,22
287,292,d,72,3,5,0,2/2,24
292,294,e,74,0,2,0,2/2,26
294,296,e,74,2,2,0,2/2,26
296,298,e,75,0,2,0,2/2,27
298,301,e,75,2,3,0,2/2,27
302,305,e,76,2,3,0,2/2,28
306,309,e,77,2,3,0,2/2,29
310,312,e,78,2,2,0,2/2,30
312,314,e,79,0,2,0,2/2,31
314,316,e,79,2,2,0,2/2,31
316,318,e,80,0,2,0,2/2,32
318,320,e,80,2,2,0,2/2,32
320,324,f,81,0,4,0,2/2,33
324,328,f,82,0,4,0,2/2,34
328,332,f,83,0,4,0,2/2,35
332,336,d,84,0,4,0,2/2,36
336,340,f,85,0,4,0,2/2,37
340,344,f,86,0,4,0,2/2,38
344,348,f,87,0,4,0,2/2,39
348,352,d,88,0,4,0,2/2,40
354,362,g,89,2,8,0,2/2,41
362,370,g,91,2,8,0,2/2,43
370,381,g,93,2,11,0,2/2,45
383,388,a,96,3,5,0,2/2,48
388,391,b,98,0,3,0,2/2,50
392,395,b,99,0,3,0,2/2,51
396,400,a,100,0,4,0,2/2,52
400,403,b,101,0,3,0,2/2,53
404,407,b,102,0,3,0,2/2,54
411,419,d,103,3,8,0,2/2,55
419,427,d,105,3,8,0,2/2,57
427,432,d,107,3,5,0,2/2,59
432,434,e,109,0,2,0,2/2,61
434,436,e,109,2,2,0,2/2,61
436,438,e,110,0,2,0,2/2,62
438,441,e,110,2,3,0,2/2,62
443,451,d,111,3,8,0,2/2,63
451,459,d,113,3,8,0,2/2,65
459,467,d,115,3,8,0,2/2,67
467,475,d,117,3,8,0,2/2,69
475,483,d,119,3,8,0,2/2,71
483,491,i,121,3,8,0,2/2,73
491,499,i,123,3,8,0,2/2,75
499,504,i,125,3,5,0,2/2,77
505,508,i,127,1,3,0,2/2,79
509,512,i,128,1,3,0,2/2,80
515,517,h,129,3,2,0,2/2,81
519,521,h,130,3,2,0,2/2,82
523,525,h,131,3,2,0,2/2,83
526,529,h,132,2,3,0,2/2,84
531,534,h,133,3,3,0,2/2,85
535,538,h,134,3,3,0,2/2,86
539,542,h,135,3,3,0,2/2,87
543,546,h,136,3,3,0,2/2,88
547,550,h,137,3,3,0,2/2,89
551,554,h,138,3,3,0,2/2,90
555,558,h,139,3,3,0,2/2,91
559,561,h,140,3,2,0,2/2,92
569,571,b,143,1,2,0,2/2,95
573,575,b,144,1,2,0,2/2,96
577,579,b,145,1,2,0,2/2,97
581,583,b,146,1,2,0,2/2,98
585,587,b,147,1,2,0,2/2,99
589,591,b,148,1,2,0,2/2,100
592,596,a,149,0,4,0,2/2,101
596,599,b,150,0,3,0,2/2,102
600,604,a,151,0,4,0,2/2,103
604,607,b,152,0,3,0,2/2,104
608,611,b,153,0,3,0,2/2,105
612,615,b,154,0,3,0,2/2,106
616,618,a,155,0,2,0,2/2,107
618,622,b,155,2,4,0,2/2,107
623,628,a,156,3,5,0,2/2,108
628,632,b,158,0,4,0,2/2,110
632,636,b,159,0,4,0,2/2,111
637,640,b,160,1,3,0,2/2,112
641,644,b,161,1,3,0,2/2,113
645,648,b,162,1,3,0,2/2,114
649,653,b,163,1,4,0,2/2,115
667,675,d,167,3,8,0,2/2,119
675,683,d,169,3,8,0,2/2,121
683,688,d,171,3,5,0,2/2,123
688,690,e,173,0,2,0,2/2,125
690,692,e,173,2,2,0,2/2,125
692,694,e,174,0,2,0,2/2,126
694,697,e,174,2,3,0,2/2,126
698,701,e,175,2,3,0,2/2,127
702,705,e,176,2,3,0,2/2,128
706,708,e,177,2,2,0,2/2,129
708,710,e,178,0,2,0,2/2,130
710,712,e,178,2,2,0,2/2,130
712,714,e,179,0,2,0,2/2,131
714,716,e,179,2,2,0,2/2,131
716,720,f,180,0,4,0,2/2,132
720,724,f,181,0,4,0,2/2,133
724,728,f,182,0,4,0,2/2,134
728,732,d,183,0,4,0,2/2,135
732,736,f,184,0,4,0,2/2,136
736,740,f,185,0,4,0,2/2,137
740,744,f,186,0,4,0,2/2,138
750,758,g,188,2,8,0,2/2,140
758,766,g,190,2,8,0,2/2,142
766,777,g,192,2,11,0,2/2,144
