start,end,type,measure,start_beat,duration,track,TS,measure_score
0,6,a,1,0,6,0,3/4,1
6,11,b,3,0,5,0,3/4,3
12,18,c,5,0,6,0,3/4,5
18,24,c,7,0,6,0,3/4,7
24,34,c,9,0,10,0,3/4,9
57,63,d,20,0,6,0,3/4,20
57,63,d,20,0,6,1,3/4,20
63,69,d,22,0,6,0,3/4,22
73,82,e,25,1,9,0,3/4,25
82,85,e,28,1,3,0,3/4,28
85,88,e,29,1,3,0,3/4,29
88,91,e,30,1,3,0,3/4,30
91,96,f,31,1,5,0,3/4,31
98,103,f,33,2,5,0,3/4,33
117,123,a,40,0,6,0,3/4,40
123,129,a,42,0,6,0,3/4,42
129,135,a,44,0,6,0,3/4,44
135,141,a,46,0,6,0,3/4,46
141,147,a,48,0,6,0,3/4,48
147,153,a,50,0,6,0,3/4,50
153,159,a,52,0,6,0,3/4,52
159,163,a,54,0,4,0,3/4,54
165,171,a,56,0,6,0,3/4,56
171,177,b,58,0,6,0,3/4,58
177,183,a,60,0,6,0,3/4,60
186,192,c,63,0,6,0,3/4,63
192,206,c,65,0,14,0,3/4,65
225,231,d,76,0,6,0,3/4,76
225,231,d,76,0,6,1,3/4,76
231,234,e,78,0,3,0,3/4,78
234,240,d,79,0,6,0,3/4,79
240,246,d,81,0,6,0,3/4,81
250,259,e,84,1,9,0,3/4,84
259,262,e,87,1,3,0,3/4,87
262,265,e,88,1,3,0,3/4,88
265,268,e,89,1,3,0,3/4,89
268,273,f,90,1,5,0,3/4,90
274,280,f,92,1,6,0,3/4,92
330,334,e,111,0,4,0,3/4,111
333,337,a,112,0,4,1,3/4,112
336,339,e,113,0,3,0,3/4,113
