start,end,type,measure,start_beat,duration,track,TS,measure_score
0,4,a,1,0,4,0,4/4,1
2,5,i,1,2,3,1,4/4,1
4,8,a,2,0,4,0,4/4,2
6,9,i,2,2,3,1,4/4,2
8,12,a,3,0,4,0,4/4,3
10,13,i,3,2,3,1,4/4,3
12,15,b,4,0,3,0,4/4,4
16,20,a,5,0,4,0,4/4,1
18,21,i,5,2,3,1,4/4,1
20,24,a,6,0,4,0,4/4,2
22,25,i,6,2,3,1,4/4,2
24,28,a,7,0,4,0,4/4,3
26,29,i,7,2,3,1,4/4,3
28,31,b,8,0,3,0,4/4,4
32,36,a,9,0,4,0,4/4,5
34,39,i,9,2,5,1,4/4,5
36,40,a,10,0,4,0,4/4,6
38,43,i,10,2,5,2,4/4,6
40,44,c,11,0,4,0,4/4,7
44,48,d,12,0,4,0,4/4,8
48,52,a,13,0,4,0,4/4,5
50,55,i,13,2,5,1,4/4,5
52,56,a,14,0,4,0,4/4,6
54,59,i,14,2,5,2,4/4,6
56,60,c,15,0,4,0,4/4,7
60,64,d,16,0,4,0,4/4,8
63,68,c,16,3,5,1,4/4,8
68,72,d,18,0,4,0,4/4,10
72,76,c,19,0,4,0,4/4,11
76,80,d,20,0,4,1,4/4,12
79,84,c,20,3,5,0,4/4,8
84,88,d,22,0,4,0,4/4,10
88,92,c,23,0,4,0,4/4,11
92,96,d,24,0,4,1,4/4,12
95,100,c,24,3,5,0,4/4,12
99,105,e,25,3,6,1,4/4,13
104,109,f,27,0,5,0,4/4,15
106,109,f,27,2,3,2,4/4,15
108,111,i,28,0,3,1,4/4,16
111,116,c,28,3,5,0,4/4,16
115,121,e,29,3,6,1,4/4,17
120,125,f,31,0,5,0,4/4,19
122,125,f,31,2,3,2,4/4,19
124,127,i,32,0,3,1,4/4,20
127,132,a,32,3,5,0,4/4,20
130,133,i,33,2,3,1,4/4,21
132,136,a,34,0,4,0,4/4,22
134,137,i,34,2,3,1,4/4,22
136,140,a,35,0,4,0,4/4,23
138,141,i,35,2,3,1,4/4,23
140,143,b,36,0,3,0,4/4,24
143,148,a,36,3,5,0,4/4,24
146,149,i,37,2,3,1,4/4,25
148,152,a,38,0,4,0,4/4,26
150,153,i,38,2,3,1,4/4,26
152,156,a,39,0,4,0,4/4,27
154,157,i,39,2,3,1,4/4,27
156,159,b,40,0,3,0,4/4,28
160,164,a,41,0,4,0,4/4,29
162,167,i,41,2,5,1,4/4,29
164,168,a,42,0,4,0,4/4,30
166,171,i,42,2,5,2,4/4,30
168,172,c,43,0,4,0,4/4,31
172,176,d,44,0,4,0,4/4,32
176,180,a,45,0,4,0,4/4,33
178,183,i,45,2,5,1,4/4,33
180,185,a,46,0,5,0,4/4,34
180,185,i,46,0,5,2,4/4,34
184,188,c,47,0,4,1,4/4,35
188,192,d,48,0,4,0,4/4,36
191,198,g,49,-1,7,1,6/8,37
197,204,g,50,2,7,0,6/8,38
203,216,g,52,2,13,1,6/8,40
215,222,g,57,-1,7,2,6/8,37
221,228,g,58,2,7,0,6/8,38
227,240,g,60,2,13,1,6/8,40
239,243,g,64,2,4,0,6/8,44
243,246,g,66,0,3,0,6/8,46
246,252,g,67,0,6,0,6/8,47
252,255,h,69,0,3,0,6/8,49
255,259,h,70,0,4,0,6/8,50
263,267,g,72,2,4,0,6/8,52
267,270,g,74,0,3,0,6/8,54
270,276,g,75,0,6,0,6/8,55
276,279,h,77,0,3,0,6/8,57
279,282,h,78,0,3,0,6/8,58
282,285,h,79,0,3,0,6/8,59
285,288,h,80,0,3,0,6/8,60
294,298,a,83,0,4,0,4/4,63
296,299,i,83,2,3,1,4/4,63
298,302,a,84,0,4,0,4/4,64
300,303,i,84,2,3,1,4/4,64
302,306,a,85,0,4,0,4/4,65
304,307,i,85,2,3,1,4/4,65
306,309,b,86,0,3,0,4/4,66
310,314,a,87,0,4,1,4/4,67
312,315,i,87,2,3,0,4/4,67
314,318,a,88,0,4,1,4/4,68
316,319,i,88,2,3,0,4/4,68
318,322,a,89,0,4,1,4/4,69
320,323,i,89,2,3,0,4/4,69
322,325,b,90,0,3,1,4/4,70
326,330,a,91,0,4,0,4/4,71
328,333,i,91,2,5,1,4/4,71
330,334,a,92,0,4,0,4/4,72
332,337,i,92,2,5,2,4/4,72
334,338,c,93,0,4,0,4/4,73
338,342,d,94,0,4,0,4/4,74
342,346,a,95,0,4,1,4/4,75
344,349,i,95,2,5,0,4/4,75
346,350,a,96,0,4,1,4/4,76
348,353,i,96,2,5,2,4/4,76
350,354,c,97,0,4,1,4/4,77
354,358,d,98,0,4,1,4/4,78
358,362,a,99,0,4,0,4/4,79
362,366,a,100,0,4,0,4/4,80
366,370,a,101,0,4,0,4/4,81
