start,end,type,measure,start_beat,duration,track,TS,measure_score
3,21,a,2,0,18,0,3/4,2
18,28,b,7,0,10,1,3/4,7
33,51,a,12,0,18,0,3/4,12
48,58,b,17,0,10,1,3/4,17
60,79,a,21,0,19,0,3/4,21
77,88,b,26,2,11,1,3/4,26
84,103,a,29,0,19,0,3/4,29
101,115,a,34,2,14,1,3/4,34
117,128,c,40,0,11,0,3/4,40
129,140,c,44,0,11,0,3/4,44
141,147,d,48,0,6,0,3/4,48
144,148,d,49,0,4,1,3/4,49
147,153,h,50,0,6,0,3/4,50
153,159,d,52,0,6,0,3/4,52
156,160,d,53,0,4,1,3/4,53
159,165,h,54,0,6,0,3/4,54
165,171,h,56,0,6,0,3/4,56
171,186,h,58,0,15,0,3/4,58
233,245,e,78,2,12,0,3/4,78
245,258,e,82,2,13,0,3/4,82
258,269,e,87,0,11,0,3/4,87
269,281,e,90,2,12,0,3/4,90
281,293,e,94,2,12,0,3/4,94
293,309,e,98,2,16,1,3/4,98
306,312,f,103,0,6,0,3/4,103
312,318,f,105,0,6,0,3/4,105
318,321,f,107,0,3,0,3/4,107
321,324,f,108,0,3,0,3/4,108
324,341,e,109,0,17,0,3/4,109
341,353,e,114,2,12,0,3/4,114
353,375,e,118,2,22,0,3/4,118
372,378,f,125,0,6,1,3/4,125
378,384,f,127,0,6,0,3/4,127
384,387,f,129,0,3,0,3/4,129
387,390,f,130,0,3,0,3/4,130
390,401,f,131,0,11,0,3/4,131
390,403,a,131,0,13,1,3/4,131
404,416,g,135,2,12,0,3/4,135
416,428,g,139,2,12,0,3/4,139
428,440,g,143,2,12,0,3/4,143
440,452,g,147,2,12,0,3/4,147
452,464,g,151,2,12,0,3/4,151
464,470,g,155,2,6,0,3/4,155
470,487,g,157,2,17,0,3/4,157
489,507,a,164,0,18,0,3/4,2
504,514,b,169,0,10,1,3/4,7
519,537,a,174,0,18,0,3/4,12
534,544,b,179,0,10,1,3/4,17
546,565,a,183,0,19,0,3/4,21
563,574,b,188,2,11,1,3/4,26
570,589,a,191,0,19,0,3/4,29
587,601,a,196,2,14,1,3/4,34
603,614,c,202,0,11,0,3/4,40
615,626,c,206,0,11,0,3/4,44
627,633,d,210,0,6,0,3/4,48
630,634,d,211,0,4,1,3/4,49
633,639,h,212,0,6,0,3/4,50
639,645,d,214,0,6,0,3/4,52
642,646,d,215,0,4,1,3/4,53
645,651,h,216,0,6,0,3/4,54
651,657,h,218,0,6,0,3/4,56
657,672,h,220,0,15,0,3/4,58
719,731,e,240,2,12,0,3/4,78
731,744,e,244,2,13,0,3/4,82
744,755,e,249,0,11,0,3/4,87
755,767,e,252,2,12,0,3/4,90
767,779,e,256,2,12,0,3/4,94
779,795,e,260,2,16,1,3/4,98
792,798,f,265,0,6,0,3/4,103
798,804,f,267,0,6,0,3/4,105
804,807,f,269,0,3,0,3/4,107
807,810,f,270,0,3,0,3/4,108
810,827,e,271,0,17,0,3/4,109
827,839,e,276,2,12,0,3/4,114
839,861,e,280,2,22,0,3/4,118
858,864,f,287,0,6,1,3/4,125
864,870,f,289,0,6,0,3/4,127
870,873,f,291,0,3,0,3/4,129
873,876,f,292,0,3,0,3/4,130
876,887,f,293,0,11,0,3/4,131
876,889,a,293,0,13,1,3/4,131
890,902,g,297,2,12,0,3/4,135
902,914,g,301,2,12,0,3/4,139
914,926,g,305,2,12,0,3/4,143
926,938,g,309,2,12,0,3/4,147
938,950,g,313,2,12,0,3/4,151
950,956,g,317,2,6,0,3/4,155
956,973,g,319,2,17,0,3/4,157
987,1005,a,330,0,18,0,3/4,168
1002,1012,b,335,0,10,1,3/4,173
1014,1020,d,339,0,6,0,3/4,177
1017,1021,d,340,0,4,1,3/4,178
1020,1035,a,341,0,15,0,3/4,179
1032,1042,b,345,0,10,1,3/4,183
1044,1054,b,349,0,10,0,3/4,187
1056,1066,b,353,0,10,0,3/4,191
1068,1078,b,357,0,10,0,3/4,195
1080,1084,b,361,0,4,0,3/4,199
1086,1090,b,363,0,4,0,3/4,201
1092,1096,b,365,0,4,0,3/4,203
1098,1102,b,367,0,4,0,3/4,205
1104,1109,b,369,0,5,0,3/4,207
1107,1112,b,370,0,5,1,3/4,208
1110,1115,b,371,0,5,0,3/4,209
1113,1118,b,372,0,5,1,3/4,210
1116,1121,b,373,0,5,0,3/4,211
1119,1124,b,374,0,5,1,3/4,212
1122,1127,b,375,0,5,0,3/4,213
1125,1130,b,376,0,5,1,3/4,214
1128,1133,b,377,0,5,0,3/4,215
1131,1134,b,378,0,3,1,3/4,216
1134,1137,b,379,0,3,0,3/4,217
1137,1140,b,380,0,3,0,3/4,218
1140,1143,b,381,0,3,0,3/4,219
1143,1146,b,382,0,3,0,3/4,220
1146,1149,b,383,0,3,0,3/4,221
1149,1152,b,384,0,3,0,3/4,222
1152,1155,b,385,0,3,0,3/4,223
1155,1158,b,386,0,3,0,3/4,224
1158,1161,b,387,0,3,0,3/4,225
1161,1164,b,388,0,3,0,3/4,226
1164,1167,b,389,0,3,0,3/4,227
1167,1170,b,390,0,3,0,3/4,228
1170,1173,b,391,0,3,0,3/4,229
1173,1176,b,392,0,3,0,3/4,230
1176,1179,b,393,0,3,0,3/4,231
1179,1182,b,394,0,3,0,3/4,232
1182,1185,b,395,0,3,0,3/4,233
1185,1188,b,396,0,3,0,3/4,234
1188,1191,b,397,0,3,0,3/4,235
1191,1194,b,398,0,3,0,3/4,236
1194,1197,b,399,0,3,0,3/4,237
1197,1200,b,400,0,3,0,3/4,238
1253,1265,g,418,2,12,0,3/4,256
1268,1280,g,423,2,12,0,3/4,261
1283,1290,g,428,2,7,0,3/4,266
1293,1311,a,432,0,18,0,3/4,270
1308,1318,b,437,0,10,1,3/4,275
1326,1341,a,443,0,15,0,3/4,281
1338,1348,b,447,0,10,1,3/4,285
1350,1378,a,451,0,28,0,3/4,289
1375,1399,a,459,1,24,1,3/4,297
1399,1411,a,467,1,12,0,3/4,305
1411,1417,a,471,1,6,0,3/4,309
1419,1430,c,474,0,11,0,3/4,312
1431,1442,c,478,0,11,0,3/4,316
1443,1449,d,482,0,6,0,3/4,320
1446,1450,d,483,0,4,1,3/4,321
1449,1455,h,484,0,6,0,3/4,322
1455,1461,d,486,0,6,1,3/4,324
1458,1462,d,487,0,4,0,3/4,325
1461,1467,h,488,0,6,1,3/4,326
1467,1473,h,490,0,6,0,3/4,328
1473,1479,h,492,0,6,0,3/4,330
1479,1494,h,494,0,15,0,3/4,332
1541,1553,e,514,2,12,0,3/4,352
1553,1566,e,518,2,13,0,3/4,356
1566,1577,e,523,0,11,0,3/4,361
1577,1589,e,526,2,12,0,3/4,364
1589,1601,e,530,2,12,0,3/4,368
1601,1617,e,534,2,16,0,3/4,372
1614,1620,f,539,0,6,1,3/4,377
1620,1626,f,541,0,6,0,3/4,379
1626,1629,f,543,0,3,0,3/4,381
1629,1632,f,544,0,3,0,3/4,382
1632,1649,e,545,0,17,0,3/4,383
1649,1661,e,550,2,12,0,3/4,388
1661,1683,e,554,2,22,0,3/4,392
1680,1686,f,561,0,6,1,3/4,399
1686,1692,f,563,0,6,0,3/4,401
1692,1698,f,565,0,6,0,3/4,403
1698,1701,f,567,0,3,0,3/4,405
1701,1704,f,568,0,3,0,3/4,406
1704,1715,f,569,0,11,1,3/4,407
1704,1717,a,569,0,13,0,3/4,407
1718,1730,g,573,2,12,0,3/4,411
1730,1742,g,577,2,12,0,3/4,415
1742,1754,g,581,2,12,0,3/4,419
1754,1766,g,585,2,12,0,3/4,423
1766,1778,g,589,2,12,0,3/4,427
1778,1784,g,593,2,6,0,3/4,431
1784,1798,g,595,2,14,0,3/4,433
1800,1818,a,601,0,18,0,3/4,439
1815,1825,b,606,0,10,1,3/4,444
1826,1831,b,609,2,5,0,3/4,447
1832,1837,b,611,2,5,0,3/4,449
1838,1843,b,613,2,5,0,3/4,451
1844,1849,b,615,2,5,0,3/4,453
