start,end,type,measure,start_beat,duration,track,TS,measure_score
0,3,a,1,0,3,0,3/4,1
3,11,b,2,0,8,0,3/4,2
11,15,b,4,2,4,0,3/4,4
15,21,a,6,0,6,0,3/4,6
21,24,c,8,0,3,0,3/4,8
24,27,c,9,0,3,0,3/4,9
27,34,c,10,0,7,1,3/4,10
33,46,d,12,0,13,0,3/4,12
45,58,d,16,0,13,1,3/4,16
58,69,d,20,1,11,0,3/4,20
69,81,e,24,0,12,0,3/4,24
81,93,e,28,0,12,0,3/4,28
105,117,g,36,0,12,0,3/4,36
117,136,g,40,0,19,0,3/4,40
135,138,a,46,0,3,1,3/4,46
138,141,a,47,0,3,0,3/4,47
141,144,a,48,0,3,0,3/4,48
144,147,a,49,0,3,0,3/4,49
147,150,a,50,0,3,0,3/4,1
150,158,b,51,0,8,0,3/4,2
158,162,b,53,2,4,0,3/4,4
162,168,a,55,0,6,0,3/4,6
168,171,c,57,0,3,0,3/4,8
171,174,c,58,0,3,0,3/4,9
174,181,c,59,0,7,1,3/4,10
180,193,d,61,0,13,0,3/4,12
192,205,d,65,0,13,1,3/4,16
205,216,d,69,1,11,0,3/4,20
216,228,e,73,0,12,0,3/4,24
228,240,e,77,0,12,0,3/4,28
252,264,g,85,0,12,0,3/4,36
264,283,g,89,0,19,0,3/4,40
282,285,a,95,0,3,1,3/4,46
285,288,a,96,0,3,0,3/4,47
288,291,a,97,0,3,0,3/4,48
291,294,a,98,0,3,0,3/4,49
294,297,a,99,0,3,0,3/4,50
297,300,a,100,0,3,0,3/4,51
300,303,a,101,0,3,0,3/4,52
303,309,b,102,0,6,0,3/4,53
309,315,b,104,0,6,0,3/4,55
315,321,a,106,0,6,0,3/4,57
321,324,a,108,0,3,0,3/4,59
324,327,a,109,0,3,0,3/4,60
327,330,a,110,0,3,0,3/4,61
330,333,a,111,0,3,0,3/4,62
333,336,a,112,0,3,0,3/4,63
336,339,a,113,0,3,0,3/4,64
339,342,a,114,0,3,0,3/4,65
342,345,a,115,0,3,0,3/4,66
345,348,a,116,0,3,0,3/4,67
348,351,a,117,0,3,0,3/4,68
351,354,a,118,0,3,0,3/4,69
354,357,a,119,0,3,0,3/4,70
357,360,a,120,0,3,0,3/4,71
360,363,a,121,0,3,0,3/4,72
363,366,a,122,0,3,0,3/4,73
366,369,a,123,0,3,0,3/4,74
369,372,c,124,0,3,0,3/4,75
372,375,c,125,0,3,0,3/4,76
375,378,c,126,0,3,0,3/4,77
377,382,f,126,2,5,1,3/4,77
383,388,f,128,2,5,0,3/4,79
389,393,f,130,2,4,0,3/4,81
393,396,a,132,0,3,0,3/4,83
396,399,a,133,0,3,0,3/4,84
399,402,a,134,0,3,0,3/4,85
402,405,a,135,0,3,0,3/4,86
405,408,a,136,0,3,0,3/4,87
408,411,a,137,0,3,0,3/4,88
411,414,a,138,0,3,0,3/4,89
414,417,a,139,0,3,0,3/4,90
417,420,a,140,0,3,0,3/4,91
