start,end,type,measure,start_beat,duration,track,TS,measure_score
0,3,a,1,0,3,0,3/4,1
3,6,a,2,0,3,0,3/4,2
6,12,b,3,0,6,0,3/4,3
12,18,b,5,0,6,0,3/4,5
18,22,c,7,0,4,1,3/4,7
21,27,h,8,0,6,0,3/4,8
27,30,a,10,0,3,0,3/4,10
30,33,a,11,0,3,0,3/4,11
33,39,b,12,0,6,0,3/4,12
39,45,b,14,0,6,0,3/4,14
45,49,c,16,0,4,0,3/4,16
51,54,a,18,0,3,0,3/4,18
54,57,a,19,0,3,0,3/4,19
57,61,b,20,0,4,0,3/4,20
63,66,a,22,0,3,0,3/4,22
66,69,a,23,0,3,0,3/4,23
69,73,b,24,0,4,0,3/4,24
72,76,h,25,0,4,1,3/4,25
75,78,d,26,0,3,0,3/4,26
78,82,h,27,0,4,0,3/4,27
81,85,d,28,0,4,1,3/4,28
84,87,d,29,0,3,0,3/4,29
87,90,i,30,0,3,0,3/4,30
89,93,i,30,2,4,1,3/4,30
95,99,a,32,2,4,0,3/4,32
99,105,a,34,0,6,0,3/4,34
102,108,b,35,0,6,0,3/4,35
108,114,b,37,0,6,0,3/4,37
114,120,b,39,0,6,0,3/4,39
120,126,b,41,0,6,0,3/4,41
126,129,a,43,0,3,0,3/4,43
129,132,a,44,0,3,0,3/4,44
134,138,e,45,2,4,0,3/4,45
138,141,e,47,0,3,0,3/4,47
141,145,b,48,0,4,0,3/4,48
146,157,e,49,2,11,0,3/4,49
167,171,e,56,2,4,0,3/4,56
171,174,e,58,0,3,0,3/4,58
174,178,b,59,0,4,0,3/4,59
179,190,e,60,2,11,0,3/4,60
189,196,f,64,0,7,1,3/4,64
195,202,f,66,0,7,0,3/4,66
202,204,f,68,1,2,0,3/4,68
204,206,f,69,0,2,0,3/4,69
206,208,f,69,2,2,0,3/4,69
208,210,f,70,1,2,0,3/4,70
210,212,f,71,0,2,0,3/4,71
212,214,f,71,2,2,0,3/4,71
222,225,i,75,0,3,1,3/4,75
224,227,i,75,2,3,0,3/4,75
226,230,i,76,1,4,1,3/4,76
231,234,i,78,0,3,1,3/4,78
233,236,i,78,2,3,0,3/4,78
235,238,i,79,1,3,1,3/4,79
237,242,i,80,0,5,0,3/4,80
243,252,g,82,0,9,0,3/4,82
252,256,c,85,0,4,0,3/4,85
255,263,g,86,0,8,1,3/4,86
263,267,a,88,2,4,0,3/4,88
267,270,a,90,0,3,0,3/4,2
270,276,b,91,0,6,0,3/4,3
276,282,b,93,0,6,0,3/4,5
282,286,c,95,0,4,1,3/4,7
285,291,h,96,0,6,0,3/4,8
291,294,a,98,0,3,0,3/4,10
294,297,a,99,0,3,0,3/4,11
297,303,b,100,0,6,0,3/4,12
303,309,b,102,0,6,0,3/4,14
309,313,c,104,0,4,0,3/4,16
315,318,a,106,0,3,0,3/4,18
318,321,a,107,0,3,0,3/4,19
321,325,b,108,0,4,0,3/4,20
327,330,a,110,0,3,0,3/4,22
330,333,a,111,0,3,0,3/4,23
333,337,b,112,0,4,0,3/4,24
336,340,h,113,0,4,1,3/4,25
339,342,d,114,0,3,0,3/4,26
342,346,h,115,0,4,0,3/4,27
345,349,d,116,0,4,1,3/4,28
348,351,d,117,0,3,0,3/4,29
351,354,i,118,0,3,0,3/4,30
353,357,i,118,2,4,1,3/4,30
359,363,a,120,2,4,0,3/4,32
363,369,a,122,0,6,0,3/4,34
366,372,b,123,0,6,0,3/4,35
372,378,b,125,0,6,0,3/4,37
378,384,b,127,0,6,0,3/4,39
384,390,b,129,0,6,0,3/4,41
390,393,a,131,0,3,0,3/4,43
393,396,a,132,0,3,0,3/4,44
398,402,e,133,2,4,0,3/4,45
402,405,e,135,0,3,0,3/4,47
405,409,b,136,0,4,0,3/4,48
410,421,e,137,2,11,0,3/4,49
431,435,e,144,2,4,0,3/4,56
435,438,e,146,0,3,0,3/4,58
438,442,b,147,0,4,0,3/4,59
443,454,e,148,2,11,0,3/4,60
453,460,f,152,0,7,1,3/4,64
459,466,f,154,0,7,0,3/4,66
466,468,f,156,1,2,0,3/4,68
468,470,f,157,0,2,0,3/4,69
470,472,f,157,2,2,0,3/4,69
472,474,f,158,1,2,0,3/4,70
474,476,f,159,0,2,0,3/4,71
476,478,f,159,2,2,0,3/4,71
486,489,i,163,0,3,1,3/4,75
488,491,i,163,2,3,0,3/4,75
490,494,i,164,1,4,1,3/4,76
495,498,i,166,0,3,1,3/4,78
497,500,i,166,2,3,0,3/4,78
499,502,i,167,1,3,1,3/4,79
501,506,i,168,0,5,0,3/4,80
507,516,g,170,0,9,0,3/4,82
516,520,c,173,0,4,0,3/4,85
519,527,g,174,0,8,1,3/4,86
527,531,a,176,2,4,0,3/4,88
531,534,a,178,0,3,0,3/4,90
534,540,b,179,0,6,0,3/4,91
540,546,b,181,0,6,0,3/4,93
546,550,b,183,0,4,0,3/4,95
550,553,a,184,1,3,0,3/4,96
553,556,a,185,1,3,0,3/4,97
556,559,a,186,1,3,0,3/4,98
558,561,a,187,0,3,1,3/4,99
564,567,a,189,0,3,0,3/4,101
567,570,a,190,0,3,0,3/4,102
570,574,b,191,0,4,0,3/4,103
576,579,a,193,0,3,0,3/4,105
579,582,a,194,0,3,0,3/4,106
582,586,b,195,0,4,0,3/4,107
588,592,b,197,0,4,0,3/4,109
592,594,a,198,1,2,0,3/4,110
594,598,b,199,0,4,0,3/4,111
598,600,a,200,1,2,0,3/4,112
600,604,b,201,0,4,1,3/4,113
603,608,d,202,0,5,0,3/4,114
606,610,a,203,0,4,1,3/4,115
612,616,b,205,0,4,0,3/4,117
616,618,a,206,1,2,0,3/4,118
618,622,b,207,0,4,0,3/4,119
622,624,a,208,1,2,0,3/4,120
624,628,b,209,0,4,1,3/4,121
627,632,d,210,0,5,0,3/4,122
630,634,a,211,0,4,1,3/4,123
633,638,d,212,0,5,0,3/4,124
636,640,a,213,0,4,1,3/4,125
639,644,d,214,0,5,0,3/4,126
642,646,i,215,0,4,1,3/4,127
645,648,i,216,0,3,0,3/4,128
648,651,i,217,0,3,0,3/4,129
651,654,i,218,0,3,0,3/4,130
654,657,i,219,0,3,0,3/4,131
672,675,a,225,0,3,0,3/4,137
675,678,a,226,0,3,0,3/4,138
678,684,b,227,0,6,0,3/4,139
684,690,b,229,0,6,0,3/4,141
690,694,c,231,0,4,1,3/4,143
693,699,h,232,0,6,0,3/4,144
699,702,a,234,0,3,0,3/4,146
702,705,a,235,0,3,0,3/4,147
705,711,b,236,0,6,0,3/4,148
711,717,b,238,0,6,0,3/4,150
717,721,c,240,0,4,0,3/4,152
