onset,midi_number,morphetic_number,duration,staff_number,measure,type
-0.5,34,45,0.5,1,0,
0.0,53,56,1.5,1,1,
0.0,58,59,1.5,1,1,
0.0,62,61,1.5,1,1,
1.5,53,56,0.5,1,1,
1.5,58,59,0.5,1,1,
1.5,62,61,0.5,1,1,
1.5,74,68,0.5,0,1,
1.5,77,70,0.5,0,1,
1.5,82,73,0.5,0,1,
1.5,86,75,0.5,0,1,a
2.0,53,56,0.5,1,1,
2.0,58,59,0.5,1,1,
2.0,62,61,0.5,1,1,
2.0,74,68,0.5,0,1,
2.0,77,70,0.5,0,1,
2.0,82,73,0.5,0,1,
2.0,86,75,0.5,0,1,a
3.0,53,56,0.25,1,1,
3.0,58,59,0.25,1,1,
3.0,62,61,0.25,1,1,
3.0,74,68,0.25,0,1,
3.0,77,70,0.25,0,1,
3.0,82,73,0.25,0,1,
3.0,87,76,0.25,0,1,a
3.5,53,56,0.25,1,1,
3.5,58,59,0.25,1,1,
3.5,62,61,0.25,1,1,
3.5,74,68,0.25,0,1,
3.5,77,70,0.25,0,1,
3.5,82,73,0.25,0,1,
3.5,86,75,0.25,0,1,a
4.0,53,56,0.5,1,2,
4.0,58,59,0.5,1,2,
4.0,62,61,0.5,1,2,
4.0,74,68,0.5,0,2,
4.0,77,70,0.5,0,2,
4.0,82,73,0.5,0,2,
4.0,86,75,0.5,0,2,a
5.0,50,54,0.5,1,2,
5.0,53,56,0.5,1,2,
5.0,58,59,0.5,1,2,
5.0,70,66,0.5,0,2,
5.0,74,68,0.5,0,2,
5.0,77,70,0.5,0,2,
5.0,82,73,0.5,0,2,a
7.5,34,45,0.5,1,2,
8.0,53,56,1.5,1,2,
8.0,58,59,1.5,1,2,
8.0,62,61,1.5,1,2,
8.0,65,63,1.5,1,2,
9.5,53,56,0.5,1,3,
9.5,58,59,0.5,1,3,
9.5,62,61,0.5,1,3,
9.5,65,63,0.5,1,3,
9.5,77,70,0.5,0,3,
9.5,82,73,0.5,0,3,
9.5,86,75,0.5,0,3,
9.5,89,77,0.5,0,3,a
10.0,53,56,0.5,1,3,
10.0,58,59,0.5,1,3,
10.0,62,61,0.5,1,3,
10.0,65,63,0.5,1,3,
10.0,77,70,0.5,0,3,
10.0,82,73,0.5,0,3,
10.0,86,75,0.5,0,3,
10.0,89,77,0.5,0,3,a
11.0,53,56,0.25,1,3,
11.0,58,59,0.25,1,3,
11.0,62,61,0.25,1,3,
11.0,65,63,0.25,1,3,
11.0,77,70,0.25,0,3,
11.0,82,73,0.25,0,3,
11.0,86,75,0.25,0,3,
11.0,91,78,0.25,0,3,a
11.5,53,56,0.25,1,3,
11.5,58,59,0.25,1,3,
11.5,62,61,0.25,1,3,
11.5,65,63,0.25,1,3,
11.5,77,70,0.25,0,3,
11.5,82,73,0.25,0,3,
11.5,86,75,0.25,0,3,
11.5,89,77,0.25,0,3,a
12.0,53,56,0.5,1,4,
12.0,58,59,0.5,1,4,
12.0,62,61,0.5,1,4,
12.0,65,63,0.5,1,4,
12.0,77,70,0.5,0,4,
12.0,82,73,0.5,0,4,
12.0,86,75,0.5,0,4,
12.0,89,77,0.5,0,4,a
13.0,53,56,0.5,1,4,
13.0,58,59,0.5,1,4,
13.0,62,61,0.5,1,4,
13.0,74,68,0.5,0,4,
13.0,77,70,0.5,0,4,
13.0,82,73,0.5,0,4,
13.0,86,75,0.5,0,4,a
15.0,70,66,0.5,0,4,b
15.5,72,67,0.5,0,4,b
16.0,74,68,2.0,0,5,b
17.0,64,62,1.0,1,5,
17.0,67,64,1.0,0,5,
18.0,65,63,1.0,1,5,
18.0,69,65,1.0,0,5,
18.0,72,67,1.0,0,5,b
19.0,59,59,1.0,1,5,
19.0,68,65,1.0,0,5,
19.0,72,67,0.5,0,5,b
19.5,74,68,0.5,0,5,b
20.0,60,60,1.0,1,6,
20.0,67,64,1.0,0,6,
20.0,75,69,2.0,0,6,b
21.0,54,56,1.0,1,6,
21.0,69,65,1.0,0,6,
22.0,55,57,1.0,1,6,
22.0,70,66,1.0,0,6,
22.0,74,68,1.0,0,6,b
23.0,51,55,1.0,1,6,
23.0,67,64,1.0,0,6,
23.0,74,68,0.5,0,6,b
23.5,75,69,0.5,0,6,b
24.0,50,54,1.0,1,6,
24.0,65,63,1.0,0,6,
24.0,77,70,1.5,0,6,b
25.0,49,54,1.0,1,7,
25.0,70,66,1.0,0,7,
25.5,79,71,0.5,0,7,b
26.0,48,53,1.0,1,7,
26.0,67,64,1.0,0,7,
26.0,77,70,0.5,0,7,b
26.5,75,69,1.0,0,7,b
27.0,41,49,1.0,1,7,
27.0,69,65,1.0,0,7,
27.5,77,70,0.5,0,7,b
28.0,46,52,1.0,1,8,
28.0,65,63,1.0,0,8,
28.0,70,66,1.0,0,8,
28.0,75,69,0.5,0,8,b
28.5,74,68,0.5,0,8,b
29.0,39,48,1.0,1,8,
29.0,67,64,1.0,0,8,
29.0,72,67,1.0,0,8,
29.0,77,70,0.5,0,8,b
29.5,75,69,0.5,0,8,b
30.0,41,49,1.0,1,8,
30.0,69,65,1.0,0,8,
30.0,72,67,1.0,0,8,b
31.0,82,73,0.5,0,8,b
31.5,84,74,0.5,0,8,b
32.0,86,75,2.0,0,9,b
33.0,76,69,1.0,1,9,
33.0,79,71,1.0,0,9,
34.0,77,70,1.0,1,9,
34.0,81,72,1.0,0,9,
34.0,84,74,1.0,0,9,b
35.0,71,66,1.0,1,9,
35.0,80,72,1.0,0,9,
35.0,84,74,0.5,0,9,b
35.5,86,75,0.5,0,9,b
36.0,72,67,1.0,1,10,
36.0,79,71,1.0,0,10,
36.0,87,76,2.0,0,10,b
37.0,66,63,1.0,1,10,
37.0,81,72,1.0,0,10,
38.0,67,64,1.0,1,10,
38.0,82,73,1.0,0,10,
38.0,86,75,1.0,0,10,b
39.0,63,62,1.0,1,10,
39.0,79,71,1.0,0,10,
39.0,86,75,0.5,0,10,b
39.5,87,76,0.5,0,10,b
40.0,62,61,1.0,1,11,
40.0,77,70,1.0,0,11,
40.0,89,77,1.5,0,11,b
41.0,61,61,1.0,1,11,
41.0,82,73,1.0,0,11,
41.5,91,78,0.5,0,11,b
42.0,60,60,1.0,1,11,
42.0,79,71,1.0,0,11,
42.0,89,77,0.5,0,11,b
42.5,87,76,1.0,0,11,b
43.0,53,56,1.0,1,11,
43.0,81,72,1.0,0,11,
43.5,89,77,0.5,0,11,b
44.0,58,59,1.0,1,11,
44.0,77,70,1.0,0,11,
44.0,87,76,0.5,0,11,b
44.5,86,75,1.0,0,12,b
45.0,54,57,1.0,1,12,
45.0,82,73,2.0,0,12,
45.5,87,76,0.5,0,12,b
46.0,53,56,1.0,1,12,
46.0,86,75,0.5,0,12,b
46.5,84,74,0.5,0,12,b
47.0,51,55,1.0,1,12,
47.0,77,70,1.0,0,12,
47.0,81,72,1.0,0,12,
47.0,86,75,0.5,0,12,b
47.5,87,76,0.5,0,12,b
48.0,50,54,1.0,1,12,
48.0,77,70,1.0,0,12,
48.0,82,73,1.0,0,12,
48.0,91,78,0.5,0,12,b
48.5,89,77,0.5,0,13,b
49.0,49,54,1.0,1,13,
49.0,82,73,1.0,0,13,
49.0,91,78,0.5,0,13,b
49.5,89,77,0.5,0,13,b
50.0,48,53,1.0,1,13,
50.0,79,71,1.0,0,13,
50.0,89,77,0.5,0,13,b
50.5,87,76,0.5,0,13,b
51.0,41,49,1.0,1,13,
51.0,81,72,1.0,0,13,
51.0,89,77,0.5,0,13,b
51.5,87,76,0.5,0,13,b
52.0,46,52,1.0,1,13,
52.0,77,70,1.0,0,13,
52.0,87,76,0.5,0,13,b
52.5,86,75,0.5,0,14,b
53.0,42,50,1.0,1,14,
53.0,82,73,2.0,0,14,
53.0,87,76,0.5,0,14,b
53.5,86,75,0.5,0,14,b
54.0,41,49,1.0,1,14,
54.0,86,75,0.5,0,14,b
54.5,84,74,0.5,0,14,b
55.0,39,48,1.0,1,14,
55.0,77,70,1.0,0,14,
55.0,81,72,1.0,0,14,
55.0,86,75,0.5,0,14,
55.5,87,76,0.5,0,14,
56.0,38,47,1.0,1,14,
56.0,77,70,1.0,0,14,
56.0,82,73,1.0,0,14,
56.0,91,78,0.5,0,14,
56.5,89,77,0.5,0,15,
57.0,37,47,1.0,1,15,
57.0,82,73,1.0,0,15,
57.0,88,76,1.0,0,15,
57.5,91,78,1.0,0,15,
58.0,36,46,1.0,1,15,
58.0,87,76,1.0,0,15,
58.5,92,79,1.0,0,15,
59.0,30,43,1.0,1,15,
59.0,84,74,1.0,0,15,
59.0,87,76,1.0,0,15,
59.5,93,79,0.5,0,15,
60.0,31,43,1.0,1,16,
60.0,82,73,1.0,0,16,
60.0,86,75,1.0,0,16,
60.0,96,81,0.5,0,16,
60.5,94,80,0.5,0,16,
61.0,39,48,1.0,1,16,
61.0,82,73,1.0,0,16,
61.0,87,76,1.0,0,16,
61.0,93,79,0.5,0,16,
61.5,91,78,0.5,0,16,
62.0,41,49,0.5,1,16,
62.0,82,73,1.0,0,16,
62.0,86,75,1.0,0,16,
62.0,89,77,0.5,0,16,
63.0,29,42,1.0,1,16,
63.0,41,49,1.0,1,16,
63.0,81,72,1.0,0,16,
63.0,84,74,1.0,0,16,
63.0,89,77,0.5,0,16,
63.0,93,79,0.5,0,16,
64.0,34,45,0.5,1,16,
64.0,46,52,0.5,1,16,
64.0,82,73,2.0,0,16,
64.0,86,75,2.0,0,16,
64.0,89,77,2.0,0,16,
64.0,94,80,2.0,0,16,c
64.5,53,56,0.5,1,17,
64.5,58,59,0.5,1,17,
64.5,62,61,0.5,1,17,
65.0,53,56,0.5,1,17,
65.0,58,59,0.5,1,17,
65.0,62,61,0.5,1,17,
65.5,53,56,0.5,1,17,
65.5,58,59,0.5,1,17,
65.5,62,61,0.5,1,17,
66.0,70,66,2.0,0,17,
66.0,74,68,2.0,0,17,
66.0,82,73,2.0,0,17,c
66.5,50,54,0.5,1,17,
66.5,53,56,0.5,1,17,
66.5,58,59,0.5,1,17,
67.0,50,54,0.5,1,17,
67.0,53,56,0.5,1,17,
67.0,58,59,0.5,1,17,
67.5,50,54,0.5,1,17,
67.5,53,56,0.5,1,17,
67.5,58,59,0.5,1,17,
68.0,74,68,0.5,0,18,
68.0,77,70,0.5,0,18,
68.0,86,75,0.5,0,18,c
68.5,53,56,0.5,1,18,
68.5,58,59,0.5,1,18,
68.5,62,61,0.5,1,18,
69.0,70,66,0.5,0,18,
69.0,74,68,0.5,0,18,
69.0,82,73,0.5,0,18,c
69.5,50,54,0.5,1,18,
69.5,53,56,0.5,1,18,
69.5,58,59,0.5,1,18,
70.0,74,68,0.5,0,18,
70.0,77,70,0.5,0,18,
70.0,86,75,0.5,0,18,c
70.5,53,56,0.5,1,18,
70.5,58,59,0.5,1,18,
70.5,62,61,0.5,1,18,
71.0,72,67,0.5,0,18,
71.0,75,69,0.5,0,18,
71.0,84,74,0.5,0,18,c
71.5,51,55,0.5,1,18,
71.5,58,59,0.5,1,18,
71.5,60,60,0.5,1,18,
72.0,34,45,0.5,1,18,
72.0,46,52,0.5,1,18,
72.0,75,69,2.0,0,18,
72.0,79,71,2.0,0,18,
72.0,87,76,2.0,0,18,c
72.5,55,57,0.5,1,19,
72.5,58,59,0.5,1,19,
72.5,63,62,0.5,1,19,
73.0,55,57,0.5,1,19,
73.0,58,59,0.5,1,19,
73.0,63,62,0.5,1,19,
73.5,55,57,0.5,1,19,
73.5,58,59,0.5,1,19,
73.5,63,62,0.5,1,19,
74.0,72,67,1.0,0,19,
74.0,75,69,1.0,0,19,
74.0,84,74,1.0,0,19,c
74.5,51,55,0.5,1,19,
74.5,58,59,0.5,1,19,
74.5,60,60,0.5,1,19,
75.0,51,55,0.5,1,19,
75.0,58,59,0.5,1,19,
75.0,60,60,0.5,1,19,
75.5,51,55,0.5,1,19,
75.5,58,59,0.5,1,19,
75.5,60,60,0.5,1,19,
76.0,75,69,0.5,0,20,
76.0,79,71,0.5,0,20,
76.0,87,76,0.5,0,20,c
76.5,55,57,0.5,1,20,
76.5,58,59,0.5,1,20,
76.5,63,62,0.5,1,20,
77.0,73,67,0.5,0,20,
77.0,76,69,0.5,0,20,
77.0,85,74,0.5,0,20,c
77.5,52,55,0.5,1,20,
77.5,58,59,0.5,1,20,
77.5,61,60,0.5,1,20,
78.0,75,69,0.5,0,20,
78.0,78,71,0.5,0,20,
78.0,87,76,0.5,0,20,c
78.5,54,57,0.5,1,20,
78.5,58,59,0.5,1,20,
78.5,63,62,0.5,1,20,
79.0,74,68,0.5,0,20,
79.0,77,70,0.5,0,20,
79.0,86,75,0.5,0,20,c
79.5,53,56,0.5,1,20,
79.5,58,59,0.5,1,20,
79.5,62,61,0.5,1,20,
80.0,34,45,0.5,1,21,
80.0,46,52,0.5,1,21,
80.0,77,70,2.0,0,21,
80.0,80,72,2.0,0,21,
80.0,89,77,2.0,0,21,c
80.5,57,58,0.5,1,21,
80.5,58,59,0.5,1,21,
80.5,65,63,0.5,1,21,
81.0,57,58,0.5,1,21,
81.0,58,59,0.5,1,21,
81.0,65,63,0.5,1,21,
81.5,57,58,0.5,1,21,
81.5,58,59,0.5,1,21,
81.5,65,63,0.5,1,21,
82.0,74,68,2.0,0,21,
82.0,77,70,2.0,0,21,
82.0,86,75,2.0,0,21,c
82.5,53,56,0.5,1,21,
82.5,58,59,0.5,1,21,
82.5,62,61,0.5,1,21,
83.0,53,56,0.5,1,21,
83.0,58,59,0.5,1,21,
83.0,62,61,0.5,1,21,
83.5,53,56,0.5,1,21,
83.5,58,59,0.5,1,21,
83.5,62,61,0.5,1,21,
84.0,77,70,0.5,0,22,
84.0,80,72,0.5,0,22,
84.0,89,77,0.5,0,22,c
84.5,56,58,0.5,1,22,
84.5,58,59,0.5,1,22,
84.5,65,63,0.5,1,22,
85.0,74,68,0.5,0,22,
85.0,78,70,0.5,0,22,
85.0,86,75,0.5,0,22,c
85.5,54,56,0.5,1,22,
85.5,58,59,0.5,1,22,
85.5,62,61,0.5,1,22,
86.0,77,70,0.5,0,22,
86.0,80,72,0.5,0,22,
86.0,89,77,0.5,0,22,c
86.5,56,58,0.5,1,22,
86.5,58,59,0.5,1,22,
86.5,65,63,0.5,1,22,
87.0,75,69,0.5,0,22,
87.0,79,71,0.5,0,22,
87.0,87,76,0.5,0,22,c
87.5,55,57,0.5,1,22,
87.5,58,59,0.5,1,22,
87.5,63,62,0.5,1,22,
88.0,34,45,0.5,1,23,
88.0,46,52,0.5,1,23,
88.0,79,71,2.0,0,23,
88.0,82,73,2.0,0,23,
88.0,91,78,2.0,0,23,c
88.5,58,59,0.5,1,23,
88.5,63,62,0.5,1,23,
88.5,67,64,0.5,1,23,
89.0,58,59,0.5,1,23,
89.0,63,62,0.5,1,23,
89.0,67,64,0.5,1,23,
89.5,58,59,0.5,1,23,
89.5,63,62,0.5,1,23,
89.5,67,64,0.5,1,23,
90.0,75,69,2.0,0,23,
90.0,79,71,2.0,0,23,
90.0,82,73,2.0,0,23,
90.0,87,76,2.0,0,23,c
90.5,55,57,0.5,1,23,
90.5,58,59,0.5,1,23,
90.5,63,62,0.5,1,23,
91.0,55,57,0.5,1,23,
91.0,58,59,0.5,1,23,
91.0,63,62,0.5,1,23,
91.5,55,57,0.5,1,23,
91.5,58,59,0.5,1,23,
91.5,63,62,0.5,1,23,
92.0,79,71,0.5,0,24,
92.0,82,73,0.5,0,24,
92.0,91,78,0.5,0,24,c
92.5,58,59,0.5,1,24,
92.5,63,62,0.5,1,24,
92.5,67,64,0.5,1,24,
93.0,76,69,0.5,0,24,
93.0,82,73,0.5,0,24,
93.0,88,76,0.5,0,24,c
93.5,58,59,0.5,1,24,
93.5,61,60,0.5,1,24,
93.5,64,62,0.5,1,24,
94.0,78,71,0.5,0,24,
94.0,82,73,0.5,0,24,
94.0,90,78,0.5,0,24,c
94.5,58,59,0.5,1,24,
94.5,63,62,0.5,1,24,
94.5,66,64,0.5,1,24,
95.0,77,70,0.5,0,24,
95.0,82,73,0.5,0,24,
95.0,89,77,0.5,0,24,c
95.5,58,59,0.5,1,24,
95.5,62,61,0.5,1,24,
95.5,65,63,0.5,1,24,
96.0,80,72,0.5,0,25,
96.0,82,73,0.5,0,25,
96.0,92,79,0.5,0,25,c
96.5,58,59,0.5,1,25,
96.5,65,63,0.5,1,25,
96.5,68,65,0.5,1,25,
97.0,78,70,0.5,0,25,
97.0,82,73,0.5,0,25,
97.0,90,77,0.5,0,25,c
97.5,58,59,0.5,1,25,
97.5,62,61,0.5,1,25,
97.5,66,63,0.5,1,25,
98.0,80,72,0.5,0,25,
98.0,82,73,0.5,0,25,
98.0,92,79,0.5,0,25,c
98.5,58,59,0.5,1,25,
98.5,65,63,0.5,1,25,
98.5,68,65,0.5,1,25,
99.0,79,71,0.5,0,25,
99.0,82,73,0.5,0,25,
99.0,91,78,0.5,0,25,c
99.5,58,59,0.5,1,25,
99.5,63,62,0.5,1,25,
99.5,67,64,0.5,1,25,
100.0,82,73,0.5,0,26,
100.0,87,76,0.5,0,26,
100.0,91,78,0.5,0,26,
100.0,94,80,0.5,0,26,c
100.5,58,59,0.5,1,26,
100.5,60,60,0.5,1,26,
100.5,63,62,0.5,1,26,
100.5,70,66,0.5,1,26,
101.0,80,71,0.5,0,26,
101.0,92,78,0.5,0,26,c
101.5,58,59,0.5,1,26,
101.5,60,60,0.5,1,26,
101.5,63,62,0.5,1,26,
101.5,68,64,0.5,1,26,
102.0,82,73,0.5,0,26,
102.0,94,80,0.5,0,26,c
102.5,58,59,0.5,1,26,
102.5,60,60,0.5,1,26,
102.5,63,62,0.5,1,26,
102.5,70,66,0.5,1,26,
103.0,81,72,0.5,0,26,
103.0,93,79,0.5,0,26,c
103.5,58,59,0.5,1,26,
103.5,60,60,0.5,1,26,
103.5,63,62,0.5,1,26,
103.5,69,65,0.5,1,26,
104.0,84,74,0.5,0,27,
104.0,96,81,0.5,0,27,
104.5,60,60,0.5,1,27,
104.5,72,67,0.5,1,27,
105.0,82,73,0.5,0,27,
105.0,94,80,0.5,0,27,
105.5,58,59,0.5,1,27,
105.5,70,66,0.5,1,27,
106.0,79,71,0.5,0,27,
106.0,91,78,0.5,0,27,
106.5,55,57,0.5,1,27,
106.5,67,64,0.5,1,27,
107.0,77,70,0.5,0,27,
107.0,89,77,0.5,0,27,
107.5,53,56,0.5,1,27,
107.5,65,63,0.5,1,27,
108.0,75,69,0.5,0,27,
108.0,87,76,0.5,0,27,
108.5,51,55,0.5,1,28,
108.5,63,62,0.5,1,28,
109.0,74,68,0.5,0,28,
109.0,86,75,0.5,0,28,
109.5,50,54,0.5,1,28,
109.5,62,61,0.5,1,28,
110.0,72,67,0.5,0,28,
110.0,84,74,0.5,0,28,
110.5,48,53,0.5,1,28,
110.5,60,60,0.5,1,28,
111.0,70,66,0.5,0,28,
111.0,82,73,0.5,0,28,
111.5,46,52,0.5,1,28,
111.5,58,59,0.5,1,28,
112.0,67,64,0.5,0,29,
112.0,79,71,0.5,0,29,
112.5,43,50,0.5,1,29,
112.5,55,57,0.5,1,29,
113.0,65,63,0.5,0,29,
113.0,77,70,0.5,0,29,
113.5,41,49,0.5,1,29,
113.5,53,56,0.5,1,29,
114.0,63,62,0.5,0,29,
114.0,75,69,0.5,0,29,
114.5,39,48,0.5,1,29,
114.5,51,55,0.5,1,29,
115.0,62,61,0.5,0,29,
115.0,74,68,0.5,0,29,
115.5,38,47,0.5,1,29,
115.5,50,54,0.5,1,29,
116.0,60,60,0.5,0,30,
116.0,72,67,0.5,0,30,
116.5,36,46,0.5,1,30,
116.5,48,53,0.5,1,30,
117.0,58,59,0.5,0,30,
117.0,70,66,0.5,0,30,
117.5,34,45,0.5,1,30,
117.5,46,52,0.5,1,30,
118.0,55,57,0.5,0,30,
118.0,67,64,0.5,0,30,
118.5,31,43,0.5,1,30,
118.5,43,50,0.5,1,30,
119.0,53,56,0.5,0,30,
119.0,65,63,0.5,0,30,
119.5,29,42,0.5,1,30,
119.5,41,49,0.5,1,30,
120.0,69,65,1.0,0,31,
120.5,33,44,0.5,1,31,
121.0,65,63,1.0,0,31,
121.5,29,42,0.5,1,31,
122.0,72,67,1.0,0,31,
122.5,36,46,0.5,1,31,
123.0,65,63,1.0,0,31,
123.5,29,42,0.5,1,31,
124.0,77,70,1.0,0,32,
124.5,41,49,0.5,1,32,
125.0,65,63,1.0,0,32,
125.5,29,42,0.5,1,32,
126.0,81,72,1.0,0,32,
126.5,45,51,0.5,1,32,
127.0,65,63,1.0,0,32,
127.5,29,42,0.5,1,32,
128.0,84,74,1.0,0,33,
128.5,48,53,0.5,1,33,
129.0,65,63,1.0,0,33,
129.5,29,42,0.5,1,33,
130.0,89,77,1.0,0,33,
130.5,53,56,0.5,1,33,
131.0,65,63,1.0,0,33,
131.5,29,42,0.5,1,33,
132.0,89,77,1.0,0,34,
132.5,53,56,0.5,1,34,
133.0,65,63,1.0,0,34,
133.5,29,42,0.5,1,34,
134.0,89,77,1.0,0,34,
134.5,53,56,0.5,1,34,
135.5,34,45,0.5,1,34,
136.0,53,56,1.5,1,35,
136.0,58,59,1.5,1,35,
136.0,62,61,1.5,1,35,
137.5,53,56,0.25,1,35,
137.5,58,59,0.25,1,35,
137.5,62,61,0.25,1,35,
137.5,74,68,0.25,0,35,
137.5,77,70,0.25,0,35,
137.5,82,73,0.25,0,35,
137.5,86,75,0.25,0,35,a
138.0,53,56,0.5,1,35,
138.0,58,59,0.5,1,35,
138.0,62,61,0.5,1,35,
138.0,74,68,0.5,0,35,
138.0,77,70,0.5,0,35,
138.0,82,73,0.5,0,35,
138.0,86,75,0.5,0,35,a
139.0,53,56,0.25,1,35,
139.0,58,59,0.25,1,35,
139.0,62,61,0.25,1,35,
139.0,74,68,0.25,0,35,
139.0,77,70,0.25,0,35,
139.0,82,73,0.25,0,35,
139.0,87,76,0.25,0,35,a
139.5,53,56,0.25,1,35,
139.5,58,59,0.25,1,35,
139.5,62,61,0.25,1,35,
139.5,74,68,0.25,0,35,
139.5,77,70,0.25,0,35,
139.5,82,73,0.25,0,35,
139.5,86,75,0.25,0,35,a
140.0,53,56,0.5,1,36,
140.0,58,59,0.5,1,36,
140.0,62,61,0.5,1,36,
140.0,74,68,0.5,0,36,
140.0,77,70,0.5,0,36,
140.0,82,73,0.5,0,36,
140.0,86,75,0.5,0,36,a
141.0,50,54,0.5,1,36,
141.0,53,56,0.5,1,36,
141.0,58,59,0.5,1,36,
141.0,70,66,0.5,0,36,
141.0,74,68,0.5,0,36,
141.0,77,70,0.5,0,36,
141.0,82,73,0.5,0,36,a
