0.0,39,48,0.5,1,1,
0.0,58,59,3.0,0,1,
0.0,63,62,3.0,0,1,
0.0,67,64,3.0,0,1,a
0.5,51,55,0.5,1,1,
1.0,51,55,0.5,1,1,
1.5,51,55,0.5,1,1,
2.0,51,55,0.5,1,1,
2.5,51,55,0.5,1,1,
3.0,51,55,0.5,1,2,
3.0,55,57,1.0,0,2,
3.0,58,59,1.0,0,2,
3.0,63,62,1.0,0,2,a
3.5,51,55,0.5,1,2,
4.0,51,55,0.5,1,2,
4.5,51,55,0.5,1,2,
5.0,51,55,0.5,1,2,
5.5,51,55,0.5,1,2,
6.0,39,48,0.5,1,3,
6.0,58,59,3.0,0,3,
6.0,63,62,3.0,0,3,
6.0,67,64,3.0,0,3,
6.0,70,66,3.0,0,3,a
6.5,51,55,0.5,1,3,
7.0,51,55,0.5,1,3,
7.5,51,55,0.5,1,3,
8.0,51,55,0.5,1,3,
8.5,51,55,0.5,1,3,
9.0,51,55,0.5,1,4,
9.0,55,57,1.0,0,4,
9.0,58,59,1.0,0,4,
9.0,63,62,1.0,0,4,
9.0,67,64,1.0,0,4,a
9.5,51,55,0.5,1,4,
10.0,51,55,0.5,1,4,
10.5,51,55,0.5,1,4,
11.0,51,55,0.5,1,4,
11.5,51,55,0.5,1,4,
11.5,70,66,0.5,0,4,
12.0,51,55,1.5,1,5,
12.0,55,57,1.5,1,5,c
12.0,63,62,3.0,1,5,
12.0,75,69,0.5,0,5,b
12.5,74,68,0.5,0,5,b
13.0,77,70,0.5,0,5,b
13.5,53,56,1.5,1,5,
13.5,56,58,1.5,1,5,c
13.5,75,69,0.5,0,5,b
14.0,74,68,0.5,0,5,b
14.5,77,70,0.5,0,5,b
15.0,55,57,1.0,1,6,
15.0,58,59,1.0,1,6,c
15.0,75,69,0.5,0,6,b
15.5,74,68,0.5,0,6,b
16.0,77,70,0.5,0,6,b
16.5,75,69,0.5,0,6,b
17.0,74,68,0.5,0,6,b
17.5,72,67,0.5,0,6,b
18.0,58,59,1.5,1,7,
18.0,62,61,1.5,1,7,c
18.0,70,66,3.0,1,7,
18.0,80,72,0.5,0,7,b
18.5,79,71,0.5,0,7,b
19.0,82,73,0.5,0,7,b
19.5,60,60,1.5,1,7,
19.5,63,62,1.5,1,7,c
19.5,80,72,0.5,0,7,b
20.0,79,71,0.5,0,7,b
20.5,82,73,0.5,0,7,b
21.0,62,61,1.0,1,8,
21.0,65,63,1.0,1,8,c
21.0,80,72,0.5,0,8,b
21.5,79,71,0.5,0,8,b
22.0,82,73,0.5,0,8,b
22.5,80,72,0.5,0,8,b
23.0,79,71,0.5,0,8,b
23.5,77,70,0.5,0,8,b
24.0,63,62,1.5,1,9,
24.0,67,64,1.5,1,9,c
24.0,75,69,3.0,1,9,
24.0,87,76,0.5,0,9,b
