onset,midi_number,morphetic_number,duration,staff_number,measure,type
0.0,58,59,1.0,0,1,
0.0,67,64,1.0,0,1,
0.0,70,66,1.0,0,1,a
1.0,58,59,1.0,0,1,
1.0,67,64,1.0,0,1,
1.0,70,66,1.0,0,1,a
2.0,58,59,2.0,0,1,
2.0,63,62,2.0,0,1,
2.0,67,64,2.0,0,1,a
2.25,46,52,0.25,1,1,b
2.5,48,53,0.25,1,1,b
2.75,50,54,0.25,1,1,b
3.0,51,55,0.25,1,1,b
3.25,53,56,0.25,1,1,b
3.5,55,57,0.25,1,1,b
3.75,51,55,0.25,1,1,b
4.0,56,58,0.5,1,2,b
4.0,58,59,1.0,0,2,
4.0,62,61,1.0,0,2,
4.0,65,63,1.0,0,2,a
5.0,58,59,1.0,0,2,
5.0,62,61,1.0,0,2,
5.0,65,63,1.0,0,2,a
6.0,56,58,0.25,1,2,b
6.0,58,59,2.0,0,2,
6.0,65,63,2.0,0,2,
6.0,68,65,2.0,0,2,
6.0,70,66,2.0,0,2,a
6.25,55,57,0.25,1,2,b
6.5,53,56,0.25,1,2,b
6.75,51,55,0.25,1,2,b
7.0,50,54,0.25,1,2,b
7.25,48,53,0.25,1,2,b
7.5,46,52,0.25,1,2,b
7.75,50,54,0.25,1,2,b
8.0,51,55,0.5,1,3,b
8.0,58,59,1.0,0,3,
8.0,67,64,1.0,0,3,
8.0,70,66,1.0,0,3,a
9.0,58,59,1.0,0,3,
9.0,67,64,1.0,0,3,
9.0,70,66,1.0,0,3,a
10.0,58,59,2.0,0,3,
10.0,63,62,2.0,0,3,
10.0,67,64,2.0,0,3,a
10.25,46,52,0.25,1,3,b
10.5,48,53,0.25,1,3,b
10.75,50,54,0.25,1,3,b
11.0,51,55,0.25,1,3,b
11.25,53,56,0.25,1,3,b
11.5,55,57,0.25,1,3,b
11.75,51,55,0.25,1,3,b
12.0,56,58,0.25,1,4,b
12.0,58,59,0.5,0,4,
12.0,62,61,0.5,0,4,
12.0,65,63,0.5,0,4,c
12.25,53,56,0.25,1,4,
12.5,50,54,0.25,1,4,
12.5,70,66,1.0,0,4,c
12.75,46,52,0.25,1,4,
13.0,44,51,0.25,1,4,
13.25,41,49,0.25,1,4,
13.5,38,47,0.25,1,4,
13.5,56,58,0.5,0,4,
13.5,70,66,0.5,0,4,c
13.75,34,45,0.25,1,4,
14.0,39,48,1.0,1,4,
14.0,55,57,1.0,0,4,
14.0,63,62,1.0,0,4,c
15.0,51,55,0.5,1,4,
16.0,58,59,1.0,0,1,
16.0,67,64,1.0,0,1,
16.0,70,66,1.0,0,1,a
17.0,58,59,1.0,0,1,
17.0,67,64,1.0,0,1,
17.0,70,66,1.0,0,1,a
18.0,58,59,2.0,0,1,
18.0,63,62,2.0,0,1,
18.0,67,64,2.0,0,1,a
18.25,46,52,0.25,1,1,b
18.5,48,53,0.25,1,1,b
18.75,50,54,0.25,1,1,b
19.0,51,55,0.25,1,1,b
19.25,53,56,0.25,1,1,b
19.5,55,57,0.25,1,1,b
19.75,51,55,0.25,1,1,b
20.0,56,58,0.5,1,2,b
20.0,58,59,1.0,0,2,
20.0,62,61,1.0,0,2,
20.0,65,63,1.0,0,2,a
21.0,58,59,1.0,0,2,
21.0,62,61,1.0,0,2,
21.0,65,63,1.0,0,2,a
22.0,56,58,0.25,1,2,b
22.0,58,59,2.0,0,2,
22.0,65,63,2.0,0,2,
22.0,68,65,2.0,0,2,
22.0,70,66,2.0,0,2,a
22.25,55,57,0.25,1,2,b
22.5,53,56,0.25,1,2,b
22.75,51,55,0.25,1,2,b
23.0,50,54,0.25,1,2,b
23.25,48,53,0.25,1,2,b
