0.0,36,46.0,0.5,1,1.0,
0.5,36,46.0,0.5,1,1.0,
0.5,43,50.0,0.5,1,1.0,
0.5,48,53.0,0.5,0,1.0,
0.5,52,55.0,0.5,0,1.0,a
1.0,36,46.0,0.5,1,1.0,
1.0,43,50.0,0.5,1,1.0,
1.0,48,53.0,0.5,0,1.0,
1.0,52,55.0,0.5,0,1.0,a
1.5,36,46.0,0.5,1,1.0,
1.5,43,50.0,0.5,1,1.0,
1.5,48,53.0,0.5,0,1.0,
1.5,52,55.0,0.5,0,1.0,a
2.0,36,46.0,0.5,1,1.0,
2.0,43,50.0,0.5,1,1.0,
2.0,48,53.0,0.5,0,1.0,
2.0,52,55.0,0.5,0,1.0,a
2.5,36,46.0,0.5,1,1.0,
2.5,43,50.0,0.5,1,1.0,
2.5,48,53.0,0.5,0,1.0,
2.5,52,55.0,0.5,0,1.0,a
3.0,36,46.0,0.5,1,1.0,
3.0,43,50.0,0.5,1,1.0,
3.0,48,53.0,0.5,0,1.0,
3.0,52,55.0,0.5,0,1.0,a
3.5,36,46.0,0.5,1,1.0,
3.5,43,50.0,0.5,1,1.0,
3.5,48,53.0,0.5,0,1.0,
3.5,52,55.0,0.5,0,1.0,a
4.0,36,46.0,0.5,1,2.0,
4.0,43,50.0,0.5,1,2.0,
4.0,48,53.0,0.5,0,2.0,
4.0,52,55.0,0.5,0,2.0,a
4.5,36,46.0,0.5,1,2.0,
4.5,43,50.0,0.5,1,2.0,
4.5,48,53.0,0.5,0,2.0,
4.5,52,55.0,0.5,0,2.0,a
5.0,36,46.0,0.5,1,2.0,
5.0,43,50.0,0.5,1,2.0,
5.0,48,53.0,0.5,0,2.0,
5.0,52,55.0,0.5,0,2.0,a
5.5,36,46.0,0.5,1,2.0,
5.5,43,50.0,0.5,1,2.0,
5.5,48,53.0,0.5,0,2.0,
5.5,52,55.0,0.5,0,2.0,a
6.0,36,46.0,0.5,1,2.0,
6.0,43,50.0,0.5,1,2.0,
6.0,48,53.0,0.5,0,2.0,
6.0,52,55.0,0.5,0,2.0,a
6.5,36,46.0,0.5,1,2.0,
6.5,43,50.0,0.5,1,2.0,
