onset,midi_number,morphetic_number,duration,staff_number,measure,type
0.0,38,47,1.0,1,1,
1.0,38,47,1.0,1,1,
2.0,38,47,1.0,1,1,
3.0,38,47,1.0,1,2,
3.0,60,60,3.0,0,2,
3.0,66,63,3.0,0,2,
3.0,69,65,3.0,0,2,a
4.0,38,47,1.0,1,2,
5.0,38,47,1.0,1,2,
6.0,38,47,1.0,1,3,
6.0,59,59,5.0,0,3,
6.0,62,61,5.0,0,3,
6.0,69,65,1.0,0,3,a
7.0,38,47,1.0,1,3,
7.0,67,64,4.0,0,3,a
8.0,38,47,1.0,1,3,
9.0,38,47,1.0,1,4,
10.0,38,47,1.0,1,4,
11.0,38,47,1.0,1,4,
11.0,55,57,1.0,0,4,
11.0,59,59,1.0,0,4,
11.0,66,63,0.5,0,4,a
11.5,64,62,0.5,0,4,a
12.0,38,47,1.0,1,5,
12.0,52,55,3.0,1,5,
12.0,55,57,3.0,0,5,
12.0,62,61,2.0,0,5,a
13.0,38,47,1.0,1,5,
14.0,38,47,1.0,1,5,
14.0,61,60,1.0,0,5,a
15.0,38,47,1.0,1,6,
15.0,49,53,3.0,1,6,
15.0,55,57,3.0,0,6,
15.0,59,59,2.0,0,6,a
16.0,38,47,1.0,1,6,
17.0,38,47,1.0,1,6,
17.0,57,58,1.0,0,6,a
18.0,38,47,1.0,1,7,
18.0,50,54,3.0,1,7,
18.0,54,56,3.0,0,7,
18.0,57,58,3.0,0,7,b
19.0,38,47,1.0,1,7,
20.0,38,47,1.0,1,7,
21.0,38,47,1.0,1,8,
21.0,42,49,3.0,1,8,
21.0,57,58,3.0,0,8,
21.0,62,61,3.0,0,8,b
22.0,38,47,1.0,1,8,
23.0,38,47,1.0,1,8,
24.0,38,47,1.0,1,9,
24.0,45,51,3.0,1,9,
24.0,61,60,2.0,0,9,
24.0,64,62,2.0,0,9,b
25.0,38,47,1.0,1,9,
26.0,38,47,1.0,1,9,
26.0,62,61,0.5,0,9,
26.0,66,63,0.5,0,9,b
26.5,64,62,0.5,0,9,
26.5,67,64,0.5,0,9,b
27.0,38,47,1.0,1,10,
27.0,50,54,1.0,1,10,
27.0,62,61,1.0,0,10,
27.0,66,63,1.0,0,10,b
28.0,50,54,1.0,1,10,
29.0,50,54,1.0,1,10,
30.0,50,54,1.0,1,11,
30.0,62,61,3.0,1,11,
31.0,50,54,1.0,1,11,
32.0,50,54,1.0,1,11,
33.0,50,54,1.0,1,12,
33.0,54,56,3.0,1,12,
33.0,72,67,3.0,0,12,
33.0,81,72,3.0,0,12,a
34.0,50,54,1.0,1,12,
35.0,50,54,1.0,1,12,
36.0,50,54,1.0,1,13,
36.0,55,57,3.0,1,13,
36.0,71,66,3.0,0,13,
36.0,81,72,1.0,0,13,a
37.0,50,54,1.0,1,13,
37.0,79,71,4.0,0,13,a
38.0,50,54,1.0,1,13,
39.0,50,54,1.0,1,14,
39.0,59,59,3.0,1,14,
39.0,67,64,3.0,0,14,
40.0,50,54,1.0,1,14,
41.0,50,54,1.0,1,14,
41.0,78,70,0.5,0,14,a
41.5,76,69,0.5,0,14,a
42.0,50,54,1.0,1,15,
42.0,64,62,3.0,1,15,
42.0,67,64,3.0,0,15,
42.0,74,68,2.0,0,15,a
43.0,50,54,1.0,1,15,
44.0,50,54,1.0,1,15,
44.0,73,67,1.0,0,15,a
45.0,50,54,1.0,1,16,
45.0,61,60,3.0,1,16,
45.0,67,64,3.0,0,16,
45.0,71,66,2.0,0,16,a
46.0,50,54,1.0,1,16,
47.0,50,54,1.0,1,16,
47.0,69,65,1.0,0,16,a
48.0,50,54,1.0,1,17,
48.0,62,61,3.0,1,17,
48.0,66,63,3.0,0,17,
48.0,69,65,3.0,0,17,b
49.0,50,54,1.0,1,17,
50.0,50,54,1.0,1,17,
51.0,50,54,1.0,1,18,
51.0,54,56,3.0,1,18,
51.0,69,65,3.0,0,18,
51.0,74,68,3.0,0,18,b
52.0,50,54,1.0,1,18,
53.0,50,54,1.0,1,18,
54.0,50,54,1.0,1,19,
54.0,57,58,3.0,1,19,
54.0,73,67,2.0,0,19,
54.0,76,69,2.0,0,19,b
55.0,50,54,1.0,1,19,
56.0,50,54,1.0,1,19,
56.0,74,68,0.5,0,19,
56.0,78,70,0.5,0,19,b
56.5,76,69,0.5,0,19,
56.5,79,71,0.5,0,19,b
57.0,50,54,1.0,1,20,
57.0,62,61,1.0,1,20,
57.0,74,68,1.0,0,20,
57.0,78,70,1.0,0,20,b
58.0,50,54,1.0,1,20,
59.0,50,54,1.0,1,20,
60.0,42,49,4.0,1,21,
60.0,50,54,1.0,1,21,
60.0,57,58,4.0,0,21,
60.0,62,61,4.0,0,21,a
61.0,50,54,1.0,1,21,
62.0,50,54,1.0,1,21,
63.0,50,54,1.0,1,22,
64.0,43,50,1.0,1,22,
64.0,50,54,1.0,1,22,
64.0,59,59,1.0,0,22,
64.0,64,62,1.0,0,22,a
65.0,45,51,1.0,1,22,
65.0,50,54,1.0,1,22,
65.0,60,60,1.0,0,22,
65.0,66,63,1.0,0,22,a
66.0,47,52,5.0,1,23,
66.0,50,54,1.0,1,23,
66.0,62,61,5.0,0,23,
66.0,69,65,1.0,0,23,a
67.0,50,54,1.0,1,23,
67.0,67,64,4.0,0,23,a
68.0,50,54,1.0,1,23,
69.0,50,54,1.0,1,24,
70.0,50,54,1.0,1,24,
71.0,45,51,1.0,1,24,
71.0,50,54,1.0,1,24,
71.0,60,60,1.0,0,24,
71.0,66,63,2.0,0,24,a
72.0,43,50,2.0,1,25,
72.0,50,54,1.0,1,25,
72.0,59,59,3.0,0,25,
73.0,50,54,1.0,1,25,
73.0,64,62,1.0,0,25,a
74.0,44,50,1.0,1,25,
74.0,52,55,1.0,1,25,
74.0,62,61,2.0,0,25,a
75.0,45,51,2.0,1,26,
75.0,52,55,1.0,1,26,
76.0,52,55,1.0,1,26,
76.0,61,60,1.0,0,26,a
77.0,45,51,1.0,1,26,
77.0,55,57,1.0,1,26,
77.0,57,58,1.5,0,26,b
78.0,50,54,1.0,1,27,
78.0,54,56,1.0,1,27,
78.5,62,61,0.5,0,27,b
79.0,50,54,1.0,1,27,
79.0,66,63,0.5,0,27,b
79.5,69,65,0.5,0,27,b
80.0,50,54,1.0,1,27,
80.0,74,68,0.5,0,27,b
80.5,78,70,0.5,0,27,b
81.0,50,54,1.0,1,28,
81.0,81,72,0.5,0,28,b
81.5,78,70,0.5,0,28,b
82.0,50,54,1.0,1,28,
82.0,74,68,0.33333,0,28,b
82.33333,69,65,0.33333,0,28,b
82.66667,66,63,0.33333,0,28,b
83.0,50,54,1.0,1,28,
83.0,69,65,0.33333,0,28,b
83.33333,67,64,0.33333,0,28,b
83.66667,64,62,0.33333,0,28,b
84.0,42,49,4.0,1,29,
84.0,50,54,1.0,1,29,
84.0,62,61,4.0,0,29,
84.0,74,68,4.0,0,29,b
85.0,50,54,1.0,1,29,
86.0,50,54,1.0,1,29,
87.0,50,54,1.0,1,30,
88.0,43,50,1.0,1,30,
88.0,50,54,1.0,1,30,
88.0,64,62,1.0,0,30,
88.0,76,69,1.0,0,30,a
89.0,45,51,1.0,1,30,
89.0,50,54,1.0,1,30,
89.0,66,63,1.0,0,30,
89.0,78,70,1.0,0,30,a
90.0,47,52,5.0,1,31,
90.0,50,54,1.0,1,31,
90.0,69,65,1.0,0,31,
90.0,81,72,1.0,0,31,a
91.0,50,54,1.0,1,31,
91.0,67,64,4.0,0,31,
91.0,79,71,4.0,0,31,a
92.0,50,54,1.0,1,31,
93.0,50,54,1.0,1,32,
94.0,50,54,1.0,1,32,
95.0,45,51,1.0,1,32,
95.0,50,54,1.0,1,32,
95.0,66,63,2.0,0,32,
95.0,78,70,2.0,0,32,a
96.0,43,50,2.0,1,33,
96.0,50,54,1.0,1,33,
97.0,50,54,1.0,1,33,
97.0,64,62,1.0,0,33,
97.0,76,69,1.0,0,33,a
98.0,44,50,1.0,1,33,
98.0,52,55,1.0,1,33,
98.0,62,61,2.0,0,33,
98.0,74,68,2.0,0,33,a
99.0,45,51,2.0,1,34,
99.0,52,55,1.0,1,34,
100.0,52,55,1.0,1,34,
100.0,61,60,1.0,0,34,
100.0,73,67,1.0,0,34,a
101.0,45,51,1.0,1,34,
101.0,55,57,1.0,1,34,
101.0,57,58,1.5,0,34,
101.0,69,65,1.5,0,34,a
102.0,50,54,1.0,1,35,
102.0,54,56,1.0,1,35,
102.5,62,61,0.5,0,35,a
103.0,50,54,1.0,1,35,
103.0,66,63,0.5,0,35,a
103.5,69,65,0.5,0,35,a
104.0,50,54,1.0,1,35,
104.0,74,68,0.5,0,35,a
104.5,78,70,0.5,0,35,a
105.0,50,54,1.0,1,36,
105.0,69,65,1.0,0,36,
105.0,81,72,1.0,0,36,a
106.0,50,54,1.0,1,36,
106.0,67,64,1.0,0,36,
106.0,79,71,1.0,0,36,a
107.0,45,51,1.0,1,36,
107.0,50,54,1.0,1,36,
107.0,66,63,2.0,0,36,
107.0,78,70,2.0,0,36,a
108.0,43,50,2.0,1,37,
108.0,50,54,1.0,1,37,
109.0,50,54,1.0,1,37,
109.0,64,62,1.0,0,37,
109.0,76,69,1.0,0,37,a
110.0,44,50,1.0,1,37,
