onset,midi_number,morphetic_number,duration,staff_number,measure,type
0.0,63,62,1.0,0,1,
0.0,67,64,1.0,0,1,a
1.0,58,59,1.0,0,1,
1.0,65,63,1.0,0,1,a
2.0,36,46,1.5,1,2,
2.0,48,53,1.5,1,2,
2.0,55,57,1.5,0,2,
2.0,63,62,1.5,0,2,a
3.5,48,53,0.5,1,2,
3.5,51,55,0.5,1,2,
3.5,63,62,0.375,0,2,b
3.875,68,65,0.125,0,2,b
4.0,46,52,0.5,1,3,
4.0,52,55,0.5,1,3,
4.0,67,64,0.5,0,3,b
4.5,46,52,0.5,1,3,
4.5,52,55,0.5,1,3,
4.5,67,64,0.375,0,3,b
4.875,73,68,0.125,0,3,b
5.0,45,51,0.5,1,3,
5.0,53,56,0.5,1,3,
5.0,72,67,0.5,0,3,b
5.5,44,51,0.5,1,3,
5.5,54,56,0.5,1,3,
5.5,72,67,0.375,0,3,b
5.875,74,68,0.125,0,3,b
6.0,43,50,1.5,1,4,
6.0,55,57,0.5,1,4,
6.0,63,62,0.5,0,4,
6.0,75,69,0.75,0,4,b
6.5,57,58,0.5,1,4,
6.5,63,62,0.5,0,4,
6.5,66,63,0.5,0,4,
6.75,72,67,0.25,0,4,b
7.0,59,59,0.5,1,4,
7.0,62,61,0.5,0,4,
7.0,67,64,0.5,0,4,
7.0,71,66,0.5,0,4,b
7.5,79,71,0.25,0,4,b
7.75,87,76,0.25,0,4,b
8.0,55,57,1.5,1,5,
8.0,67,64,0.5,1,5,
8.0,75,69,0.5,0,5,
8.0,87,76,0.75,0,5,b
8.5,69,65,0.5,1,5,
8.5,75,69,0.5,0,5,
8.5,78,70,0.5,0,5,
8.75,84,74,0.25,0,5,b
9.0,71,66,0.5,1,5,
9.0,74,68,0.5,0,5,
9.0,79,71,0.5,0,5,
9.0,83,73,0.5,0,5,b
9.5,67,64,0.5,1,5,
9.5,70,66,0.5,1,5,
9.5,74,68,0.5,0,5,
9.5,79,71,0.5,0,5,
9.5,82,73,0.5,0,5,b
10.0,65,63,0.5,1,6,
10.0,68,65,0.5,1,6,
10.0,70,66,1.0,1,6,
10.0,74,68,0.5,0,6,
10.0,82,73,1.166666667,0,6,b
10.5,63,62,0.5,1,6,
10.5,67,64,0.5,1,6,
10.5,75,69,0.5,0,6,
11.0,62,61,0.5,1,6,
11.0,65,63,0.5,1,6,
11.0,70,66,0.5,1,6,
11.0,77,70,0.166666667,0,6,
11.0,82,73,0.166666667,0,6,
11.16666667,70,66,0.166666667,0,6,
11.33333333,72,67,0.166666667,0,6,
11.5,58,59,0.5,1,6,
11.5,62,61,0.5,1,6,
11.5,69,65,0.166666667,0,6,
11.66666667,70,66,0.166666667,0,6,
11.83333333,68,65,0.166666667,0,6,
12.0,58,59,1.0,0,7,
12.0,61,61,1.0,0,7,
12.0,64,62,1.0,0,7,
12.0,67,64,1.0,0,7,a
13.0,34,45,1.0,1,7,
13.0,46,52,1.0,1,7,
13.0,56,58,1.0,0,7,
13.0,62,61,1.0,0,7,
13.0,65,63,1.0,0,7,a
14.0,35,46,1.5,1,8,
14.0,47,53,1.5,1,8,
14.0,54,57,1.5,0,8,
14.0,63,62,1.5,0,8,a
15.5,47,53,0.5,1,8,
15.5,54,57,0.5,1,8,
15.5,63,62,0.5,0,8,
15.5,66,64,0.375,0,8,b
15.875,71,67,0.125,0,8,b
16.0,49,54,0.5,1,9,
16.0,54,57,0.5,1,9,
16.0,64,63,0.5,0,9,
16.0,71,67,0.5,0,9,b
16.5,49,54,0.5,1,9,
16.5,54,57,0.5,1,9,
16.5,64,63,0.5,0,9,
16.5,70,66,0.375,0,9,b
16.875,76,70,0.125,0,9,b
17.0,47,53,0.5,1,9,
17.0,54,57,0.5,1,9,
17.0,63,62,0.5,0,9,
17.0,75,69,0.5,0,9,b
17.5,46,52,1.0,1,9,
17.5,54,57,0.5,1,9,
17.5,75,69,0.375,0,9,b
17.875,77,70,0.125,0,9,b
18.0,45,51,1.0,1,10,
18.0,54,57,0.5,1,10,
18.0,72,67,0.5,0,10,
18.0,78,71,0.75,0,10,b
18.5,53,56,0.5,1,10,
18.5,72,67,0.5,0,10,
18.75,75,69,0.25,0,10,b
19.0,46,52,0.5,1,10,
19.0,53,56,0.5,1,10,
19.0,70,66,0.5,0,10,
19.0,74,68,0.5,0,10,b
19.5,44,51,0.5,1,10,
19.5,52,56,1.0,1,10,
19.5,70,66,1.0,0,10,
19.5,73,68,0.375,0,10,b
19.875,75,69,0.125,0,10,b
20.0,43,50,1.0,1,11,
20.0,52,56,0.5,1,11,
20.0,70,66,0.5,0,11,
20.0,76,70,0.75,0,11,b
20.5,51,55,0.5,1,11,
20.5,70,66,0.5,0,11,
20.75,75,69,0.125,0,11,b
20.875,73,68,0.125,0,11,b
21.0,44,51,0.5,1,11,
21.0,51,55,0.5,1,11,
21.0,68,65,0.5,0,11,
21.0,71,67,0.5,0,11,b
21.5,42,50,0.5,1,11,
21.5,46,52,0.5,1,11,
21.5,54,57,0.5,1,11,
21.5,63,62,0.5,0,11,
21.5,70,66,0.5,0,11,
21.5,75,69,0.5,0,11,b
22.0,41,49,0.5,1,12,
22.0,46,52,0.5,1,12,
22.0,53,56,0.5,1,12,
22.0,62,61,0.5,0,12,
22.0,68,65,0.5,0,12,
22.0,70,66,0.5,0,12,
22.0,74,68,0.5,0,12,b
23.25,41,49,0.25,1,12,
23.25,46,52,0.25,1,12,
23.25,53,56,0.25,1,12,
23.25,62,61,0.25,0,12,
23.25,68,65,0.25,0,12,
23.25,70,66,0.25,0,12,
23.25,74,68,0.25,0,12,
23.5,39,48,0.25,1,12,
23.5,46,52,0.25,1,12,
23.5,51,55,0.25,1,12,
23.5,63,62,0.25,0,12,
23.5,66,64,0.25,0,12,
23.5,70,66,0.25,0,12,
23.5,75,69,0.25,0,12,
23.75,39,48,0.25,1,12,
23.75,46,52,0.25,1,12,
23.75,51,55,0.25,1,12,
23.75,63,62,0.25,0,12,
23.75,66,64,0.25,0,12,
23.75,70,66,0.25,0,12,
23.75,75,69,0.25,0,12,
24.0,38,47,0.5,1,13,
24.0,46,52,0.5,1,13,
24.0,50,54,0.5,1,13,
24.0,65,63,0.5,0,13,
24.0,70,66,0.5,0,13,
24.0,77,70,0.5,0,13,
25.25,65,63,0.25,1,13,
25.25,68,65,0.25,1,13,
25.25,70,66,0.25,0,13,
25.25,74,68,0.25,0,13,
25.5,63,62,0.25,1,13,
25.5,66,64,0.25,1,13,
25.5,70,66,0.25,0,13,
25.5,75,69,0.25,0,13,
25.75,63,62,0.25,1,13,
25.75,66,64,0.25,1,13,
25.75,70,66,0.25,0,13,
25.75,75,69,0.25,0,13,
26.0,62,61,0.5,1,14,
26.0,65,63,0.5,1,14,
26.0,70,66,0.5,0,14,
26.0,77,70,0.5,0,14,
27.25,62,61,0.25,1,14,
27.25,65,63,0.25,1,14,
27.25,70,66,0.25,0,14,
27.25,77,70,0.25,0,14,
27.5,61,61,0.25,1,14,
27.5,63,62,0.25,1,14,
27.5,70,66,0.25,0,14,
27.5,79,71,0.25,0,14,
27.75,59,60,0.25,1,14,
27.75,63,62,0.25,1,14,
27.75,68,65,0.25,0,14,
27.75,80,72,0.25,0,14,
28.0,59,60,0.5,1,15,
28.0,63,62,0.5,1,15,
28.0,68,65,0.5,0,15,
28.0,80,72,0.5,0,15,
29.25,62,61,0.25,1,15,
29.25,65,63,0.25,1,15,
29.25,70,66,0.25,0,15,
29.25,77,70,0.25,0,15,
29.5,61,61,0.25,1,15,
29.5,63,62,0.25,1,15,
29.5,70,66,0.25,0,15,
29.5,79,71,0.25,0,15,
29.75,60,60,0.25,1,15,
29.75,63,62,0.25,1,15,
29.75,68,65,0.25,0,15,
29.75,80,72,0.25,0,15,
30.5,60,60,0.5,1,16,
30.5,63,62,0.5,1,16,
30.5,68,65,0.5,0,16,
30.5,80,72,0.5,0,16,
31.5,60,60,0.5,1,16,
31.5,63,62,0.5,1,16,
31.5,68,65,0.5,0,16,
31.5,80,72,0.5,0,16,
32.0,60,60,3.0,1,17,
32.0,63,62,3.0,1,17,
32.0,68,65,3.0,0,17,
32.0,80,72,3.0,0,17,c
35.0,59,59,0.5,1,17,
35.0,62,61,0.5,1,17,
35.0,67,64,1.0,0,17,
35.0,74,68,0.5,0,17,c
35.5,58,59,0.5,1,17,
35.5,61,61,0.5,1,17,
35.5,79,71,0.5,0,17,c
36.0,58,59,1.0,1,18,
36.0,61,61,1.0,1,18,
36.0,67,64,1.0,0,18,
36.0,79,71,1.0,0,18,c
37.0,57,58,0.5,1,18,
37.0,60,60,0.5,1,18,
37.0,65,63,1.0,0,18,
37.0,72,67,0.5,0,18,c
37.5,56,58,0.5,1,18,
37.5,59,60,0.5,1,18,
37.5,77,70,0.5,0,18,c
38.0,56,58,1.0,1,18,
38.0,59,60,1.0,1,18,
38.0,65,63,1.0,0,18,
38.0,77,70,1.0,0,18,c
39.0,55,57,0.5,1,18,
39.0,58,59,0.5,1,18,
39.0,63,62,1.0,0,18,
39.0,70,66,0.5,0,18,c
39.5,54,56,0.5,1,18,
39.5,57,58,0.5,1,18,
39.5,75,69,0.5,0,18,c
40.0,53,56,3.0,1,19,
40.0,56,58,3.0,1,19,
40.0,63,62,2.0,0,19,
40.0,68,65,2.0,0,19,
40.0,70,66,2.0,0,19,
40.0,75,69,2.0,0,19,d
