256.0,59.0,59.0,0.25,0.0,65.0
257.0,62.0,61.0,0.25,0.0,65.0
257.5,62.0,61.0,0.25,0.0,65.0
258.0,62.0,61.0,0.25,0.0,65.0
259.0,67.0,64.0,0.25,0.0,65.0
259.5,67.0,64.0,0.25,0.0,65.0
260.0,67.0,64.0,0.25,0.0,66.0
261.0,71.0,66.0,0.25,0.0,66.0
261.5,71.0,66.0,0.25,0.0,66.0
262.0,71.0,66.0,0.25,0.0,66.0
263.0,74.0,68.0,0.25,0.0,66.0
263.5,74.0,68.0,0.25,0.0,66.0
264.0,74.0,68.0,0.25,0.0,67.0
264.5,73.0,67.0,0.25,0.0,67.0
265.0,76.0,69.0,0.25,0.0,67.0
265.5,74.0,68.0,0.25,0.0,67.0
266.0,74.0,68.0,0.25,0.0,67.0
266.5,73.0,67.0,0.25,0.0,67.0
267.0,76.0,69.0,0.25,0.0,67.0
267.5,74.0,68.0,0.25,0.0,67.0
268.0,74.0,68.0,0.25,0.0,68.0
268.5,73.0,67.0,0.25,0.0,68.0
269.0,76.0,69.0,0.25,0.0,68.0
269.5,74.0,68.0,0.25,0.0,68.0
270.0,74.0,68.0,0.25,0.0,68.0
270.5,73.0,67.0,0.25,0.0,68.0
271.0,76.0,69.0,0.25,0.0,68.0
271.5,74.0,68.0,0.25,0.0,68.0
271.75,86.0,75.0,0.25,0.0,68.0
