33.5,50.0,54.0,0.5,1.0,12.0
34.0,54.0,56.0,0.5,1.0,12.0
34.5,62.0,61.0,0.5,0.0,12.0
35.0,66.0,63.0,0.5,0.0,12.0
35.5,69.0,65.0,0.5,0.0,12.0
36.0,74.0,68.0,0.5,0.0,13.0
36.5,66.0,63.0,0.5,0.0,13.0
37.0,69.0,65.0,0.5,0.0,13.0
37.5,74.0,68.0,0.5,0.0,13.0
38.0,78.0,70.0,0.5,0.0,13.0
38.5,69.0,65.0,0.5,0.0,13.0
39.0,74.0,68.0,0.5,0.0,14.0
39.5,78.0,70.0,0.5,0.0,14.0
40.0,81.0,72.0,0.5,0.0,14.0
40.5,74.0,68.0,0.5,0.0,14.0
41.0,78.0,70.0,0.5,0.0,14.0
41.5,81.0,72.0,0.5,0.0,14.0
42.0,86.0,75.0,0.5,0.0,15.0
42.5,78.0,70.0,0.5,0.0,15.0
43.0,81.0,72.0,0.5,0.0,15.0
43.5,86.0,75.0,0.5,0.0,15.0
44.0,90.0,77.0,0.5,0.0,15.0
44.5,88.0,76.0,0.5,0.0,15.0
45.0,86.0,75.0,1.0,0.0,16.0
